Vereinsname,Land,"aktueller Marktwert",Ablösesummen,Differenz,Durchschnittsalter
"Eutiner FC 1918",Deutschland,208994138,107710464,101283674,19.95
"FSV Neugersdorf",Deutschland,324393990,223636265,100757725,25.42
"SK Münchener Löwen",Deutschland,323536563,228346418,95190145,21.45
"SSC Halle",Deutschland,145274432,52397245,92877187,24.64
"Jylland Herning",Dänemark,295728544,204945186,90783358,25.27
"SK Austrien Wien",Österreich,248447302,158151774,90295528,26.05
"AC Sportivo Madrid",Spanien,559895775,470523589,89372186,24.72
"FC Hapa Tel-Avia",Israel,174442150,85873381,88568769,24.65
"SpVgg M´gladbach",Deutschland,349117010,260570969,88546041,23.96
"Eintracht Osnabrück",Deutschland,235700856,148759191,86941665,23.86
"SWBH Villingen",Deutschland,140322730,53386710,86936020,25.67
"Teutonia Alfter",Deutschland,637289684,553512145,83777539,22.72
"BSC Grohn",Deutschland,406868432,323128864,83739568,24.05
"Red Lions Millwall",England,186067227,102799229,83267998,24.47
"FC Aarhus 1879",Dänemark,521518580,439890351,81628229,22.95
"SSV Frankfurt 1897",Deutschland,88704900,7968201,80736699,24.00
"SC Orel Kranj",Slowenien,98017086,18580244,79436842,24.42
"Gjumri FC",Armenien,265613760,187940093,77673667,25.78
"KV Lions",Gibraltar,144736907,67397283,77339624,27.29
"PF Orienta Varna",Bulgarien,212382011,135518282,76863729,22.17
"FA Prat",Spanien,160256695,84583225,75673470,21.64
"Hansa Bremen",Deutschland,368661061,293426538,75234523,25.63
"Ciltic Glasgow",Schottland,325488669,250739975,74748694,24.88
"AC Avranches",Frankreich,477091420,403134357,73957063,24.74
"1. FK Bockenheim",Deutschland,382082666,308908096,73174570,24.30
"BW Sandhausen",Deutschland,425107596,353598702,71508894,27.17
"KVI Stavanger",Norwegen,236597811,165182048,71415763,25.04
"Dynamit Kiew",Ukraine,233085223,162902493,70182730,22.27
"Union Verl",Deutschland,86935940,17144688,69791252,27.58
"Royal Madrid",Spanien,600332572,531274809,69057763,25.05
"Union Neubrandenburg",Deutschland,128349736,59913558,68436178,25.36
"FAK Voronezh",Russland,146435422,78078243,68357179,23.74
"Kleeblatt Oberhausen",Deutschland,230594552,163805084,66789468,25.24
"Duisburg Zebras",Deutschland,89877742,23487069,66390673,23.22
"Derby United",England,184170030,118804258,65365772,28.00
"Union Aplerbeck",Deutschland,158750599,93867628,64882971,23.20
"Ebreichsdorfer AK",Österreich,274973679,210717071,64256608,24.41
"SK Moskau",Russland,244797721,182076543,62721178,26.96
"Unione Pescara",Italien,72516978,10257056,62259922,25.65
"FK Gävle",Schweden,66558621,5854545,60704076,24.92
"RW Meuselwitz",Deutschland,79432563,19093459,60339104,27.00
"Sportive Épinal",Frankreich,346512764,286370024,60142740,25.09
"FC Helsingstars",Finnland,275087633,217547173,57540460,25.65
"Newcastle Union",England,133016320,75528323,57487997,26.09
"1.FK Hannover ",Deutschland,95958780,38877146,57081634,20.70
"SSV Napoli",Italien,145783493,89823960,55959533,27.35
Misaniaspocht,Türkei,58429479,2694667,55734812,24.50
"CFC Barcelona",Spanien,471354478,415854615,55499863,28.11
"SHV Passau",Deutschland,108744083,53351642,55392441,26.27
"HuFC Düsseldorf",Deutschland,134630562,79570473,55060089,25.64
"Morecambe Seafighters",England,61973544,6975507,54998037,24.32
"Atletism Balotești",Rumänien,60376497,5887444,54489053,27.36
"1. FV Würzburg",Deutschland,113421725,58980232,54441493,21.25
"Sportowy Khimki",Russland,125423323,70997640,54425683,27.82
"Friidrott Sundsvall",Schweden,401095210,346848717,54246493,23.77
"Ballsport Dortmund",Deutschland,234302831,180692732,53610099,23.32
"Jeanette Esch",Luxemburg,148174485,95089058,53085427,25.78
"Slagelse SL",Dänemark,103843060,50820239,53022821,24.77
"CF Eibar",Spanien,895792235,843453806,52338429,25.11
"Ritzinger SK",Österreich,68659181,17283891,51375290,25.74
"CL Cosenza",Italien,72048162,21314615,50733547,25.59
"Napoli Calcio",Italien,153836857,103173991,50662866,24.84
"SF Getafe",Spanien,69268445,18686576,50581869,26.64
"SH Eastleigh",England,76520265,26363367,50156898,25.43
"Vlok Plovdiv",Bulgarien,66324284,16777021,49547263,26.73
"Chelsea Soccer",England,171315023,121949223,49365800,26.30
"Rodóva Marijampolė",Litauen,59886887,10903853,48983034,27.23
"Udinese CF",Italien,88379836,39499506,48880330,28.23
"GR Klaipėda",Litauen,59053985,10236720,48817265,25.95
"Germania Cloppenburg",Deutschland,194808336,146065576,48742760,23.95
"Aias Amsterdam FK",Niederlande,270977432,222257022,48720410,23.22
"CV Milan",Italien,694452661,645784008,48668653,25.53
"Osman Ankara",Türkei,51766986,3320752,48446234,25.43
"BF Galabovo",Bulgarien,61094552,12650419,48444133,27.05
"Cappellen Town",Belgien,60236918,12127637,48109281,26.23
"Unión Tudelano",Spanien,54272177,7092031,47180146,25.73
"Atlético Albacete",Spanien,85154211,38024916,47129295,26.55
"Welsh Wrexham",England,61600417,14589301,47011116,20.25
"SK Glimt Bodø",Norwegen,61924423,15278280,46646143,26.00
"Sportivo Leiria",Portugal,93369034,46781522,46587512,26.95
"FC Clermont-Ferrand",Frankreich,59934143,13715740,46218403,27.09
"SV Monopoli Calcio",Italien,60284387,15184629,45099758,27.86
"FK Oulu",Finnland,63941895,19235196,44706699,26.30
"Inter Brno",Tschechien,151217559,107224912,43992647,24.00
"Inverness City",Schottland,60555964,16576956,43979008,28.27
"RCD Ejea",Spanien,67185094,23487583,43697511,27.43
"Sportivo Bilbao",Spanien,122674963,79093031,43581932,26.57
"Dnipropetrovsk FC",Ukraine,86888133,43706582,43181551,27.30
"Avernese Calcio",Italien,108358083,65194070,43164013,27.86
"SI Uppsala",Schweden,219687271,176717049,42970222,25.21
"CD Elche",Spanien,125702375,82813034,42889341,26.23
"Gosport Rebells",England,60216487,17562681,42653806,25.68
"FKS Puławy",Polen,51571178,9908942,41662236,25.61
"Sutton Athletic",England,76414482,34837075,41577407,26.86
"Olimpico Estarreja",Portugal,64653945,23119622,41534323,26.23
"Sportiva Tondela",Portugal,289541467,248099613,41441854,28.23
"Olimpico Zakynthos",Griechenland,49809118,8422801,41386317,24.86
"Sportiva Novara",Italien,61151491,19783091,41368400,26.59
"FV Aranda de Duero",Spanien,47203111,6019939,41183172,26.59
"Cyprus Aradippou",Zypern,85944568,44883888,41060680,27.18
"FK Ried",Österreich,81534709,40603396,40931313,26.95
"UD Lizarra",Spanien,68003858,27188095,40815763,27.86
"York Soccer",England,47028429,6303788,40724641,26.36
"Leipziger SV",Deutschland,67784355,27261953,40522402,29.80
"Lougana FC",Lettland,45834292,5365773,40468519,26.09
"Mainzer FC",Deutschland,211434797,171021407,40413390,28.65
"SV Porta Trier",Deutschland,62906990,22672848,40234142,26.41
"Seraing United",Belgien,64019967,24133589,39886378,25.64
"SC Torpedo Dresden",Deutschland,97436028,57554587,39881441,28.30
"Spotivo Zigi",Lettland,45158385,5676185,39482200,25.86
"KF Haldenkvìk",Norwegen,52743223,13269385,39473838,26.13
"KKS Jyväskylä",Finnland,69016040,29625812,39390228,27.41
"Iän Åtvidaberg",Schweden,88666798,49439015,39227783,26.64
Dzenlispur,Türkei,46280339,7074639,39205700,26.82
"Bær Sandvika",Norwegen,60889286,21713412,39175874,26.77
"Slavonia Brdo",Kroatien,81154506,42364776,38789730,26.45
"Lukumotiva Moskva",Russland,251325223,212675185,38650038,26.11
"AS Bourg-Péronnas",Frankreich,42666357,4050085,38616272,26.91
"SSV Cartagena",Spanien,42901037,4301755,38599282,24.45
"SC Esch",Luxemburg,74849734,36273312,38576422,25.57
"Dithmarschen Heid",Deutschland,73349887,34788568,38561319,26.36
"Farak Grosny",Russland,111592894,73037546,38555348,27.54
"Wiener SC",Österreich,42436227,4079574,38356653,26.91
"Oxford Urbans",England,74812303,36606340,38205963,28.55
"Sçaykor Rize",Türkei,72516964,34458462,38058502,27.30
"OA Nikosia",Zypern,102685403,64647124,38038279,25.83
"Potenza Melfi",Italien,45967397,8005290,37962107,26.50
"Sporting St. Truiden",Belgien,55480553,17734781,37745772,27.23
"JKA Ylivieska",Finnland,48324118,10818448,37505670,26.77
"SSC Lugano",Schweiz,47113727,9645767,37467960,25.00
"SC Stadl-Paura",Österreich,60656227,23608027,37048200,25.82
"SC Fiorentina",Italien,66559554,29525381,37034173,26.23
"Dynamit București",Rumänien,315324126,278456466,36867660,27.82
"IFK Oskarshamn",Schweden,48434042,11610813,36823229,25.86
"Duna Paksi",Ungarn,77264736,40512894,36751842,26.39
Güresonsport,Türkei,73340176,36719011,36621165,26.95
"Fortuna Norderstedt",Deutschland,81442657,44910467,36532190,25.73
"Sporting Arouca",Portugal,81027162,44579912,36447250,27.95
"Esportivo La Coruña",Spanien,102121867,65766576,36355291,28.68
"Voša Novi Sad",Serbien,48101967,11758879,36343088,26.83
"Rudar Kerkrade",Niederlande,69800795,33677308,36123487,26.68
"KV Aktobe 1965",Kasachstan,45998521,9971712,36026809,25.45
"EF Lleida",Spanien,56672340,20744354,35927986,25.55
"Vlak Gorna Orjachowiza",Bulgarien,46880282,11144774,35735508,26.18
"Cardiff Dragons",England,69358498,33632067,35726431,25.95
"CV Crotone",Italien,42096888,6407156,35689732,26.13
"Unión Mafra",Portugal,42153855,6631199,35522656,26.09
"Eintracht Rudolstadt",Deutschland,72022769,36536234,35486535,26.09
"Cheznó Tarnobrzeg",Polen,47485046,12027342,35457704,27.00
"JK Tartu Lemm",Estland,40078745,4952893,35125852,28.09
"Gharabagh Ağdam",Aserbaidschan,71226045,36134799,35091246,27.09
"Concord Åsane",Norwegen,75447183,40434248,35012935,26.30
"Saarbrückener SC",Deutschland,579288475,544365225,34923250,22.42
"1. FK Vienna 1895",Österreich,49040005,14334475,34705530,25.86
"Isla Krk",Kroatien,176699251,142169771,34529480,28.65
"BD Hønefoss",Norwegen,41113318,6592263,34521055,26.55
"Wycombe Sportsmen",England,57451152,23046830,34404322,27.64
"Academy Bristol",England,46797637,12446152,34351485,26.59
"Maastrichter FC",Niederlande,39783628,5517964,34265664,26.73
"VfB Chemnitz",Deutschland,298917885,264674284,34243601,24.83
"Omiš FK",Kroatien,56124771,21946948,34177823,26.86
"Mantova Calcio",Italien,40484986,6539003,33945983,26.05
"Oldham City",England,42846902,8950524,33896378,26.64
"SSV Pavia",Italien,45584052,11802030,33782022,27.04
"KA Iraklio",Griechenland,130570285,96837250,33733035,27.64
"Ethnokos Evosmos",Griechenland,74777827,41193711,33584116,26.57
"Atletico Bergamo",Italien,43731469,10208303,33523166,27.59
"SCC Neuchâtel",Schweiz,50357803,16868896,33488907,27.27
"Liverpool Reds",England,509907140,476435930,33471210,27.05
"SC Michalovce",Slowakei,36620055,3349959,33270096,24.41
"RFC Monaco",Frankreich,279104578,245903322,33201256,28.77
"Spartak Jablonek",Tschechien,190257191,157332002,32925189,26.23
"Royal Murcia",Spanien,47900696,15031445,32869251,25.18
"RO Russe",Bulgarien,44956360,12335519,32620841,26.32
"ASK Velenje",Slowenien,80439526,47919832,32519694,27.18
"AC Cagliari",Italien,43448309,11011350,32436959,27.50
"EV Córdoba",Spanien,71441839,39066446,32375393,25.32
"Sportowy Krasnodar",Russland,71556141,39226717,32329424,28.23
"Teplice CF",Tschechien,138656826,106331839,32324987,25.12
"SK Zvezda Belgrad",Serbien,57458323,25151311,32307012,28.95
"Tvøroyri BF",Färöer,55565354,23349639,32215715,26.50
"FC Newtown 76",Wales,55002336,22873400,32128936,26.82
"Oranje Emmen",Niederlande,143018316,110900506,32117810,26.13
"Gazovski Lipetsk",Russland,59730678,27617660,32113018,28.09
"Royal Oviedo",Spanien,75004359,42988935,32015424,26.77
"Chorne Odessa",Ukraine,38010883,6075077,31935806,27.36
"KV Lahti",Finnland,55413173,23535333,31877840,26.36
"Horda Sotra",Norwegen,42641997,10896067,31745930,26.91
"FK Metallica Jajce","Bosnien und Herzegowina",74408490,42683652,31724838,26.22
"Radnički SB",Kroatien,38773991,7096390,31677601,27.27
"Atletico Pistoiese",Italien,53985968,22335477,31650491,26.91
"Reyocretivo Huelva",Spanien,51607407,20034022,31573385,26.05
"Canarias Santa Cruz",Spanien,63072182,31529830,31542352,27.55
"Società Messina",Italien,41045561,9577902,31467659,27.30
"Kassaly Tschymkent",Kasachstan,81461372,50005723,31455649,26.36
"FAC Wolfsberg",Österreich,87605585,56527611,31077974,27.23
"Uni Craiova",Rumänien,48582748,17539876,31042872,25.09
"Beanos Stirling",Schottland,42339497,11502090,30837407,26.23
"Tortuk Nalchik",Russland,34943196,4115671,30827525,25.45
"IF Brand Bergen",Norwegen,42227464,11440921,30786543,26.13
"AFC Netanya",Israel,35503579,4738767,30764812,25.91
"FV Molde",Norwegen,94703100,64035540,30667560,25.57
"Atlético Talavero",Spanien,46760231,16096287,30663944,26.86
"Red Wings Salzburg",Österreich,101323027,70756461,30566566,24.16
"Torpeda Luzk",Ukraine,110492405,80012874,30479531,28.32
"SFV Koblenz",Deutschland,39149514,8728623,30420891,26.50
"Sodjìska Nikšić",Montenegro,47523558,17121525,30402033,24.55
"Olimpios Kerkyra",Griechenland,43996441,13699488,30296953,26.77
"SpVgg Münster 1908",Deutschland,79727183,49458141,30269042,27.09
"Hrvatskoj Pleternica",Kroatien,48229796,17980992,30248804,25.43
"Entella Chiavari",Italien,66806072,36603334,30202738,25.83
"SSV Kapfenberg 09",Österreich,50193353,20170986,30022367,27.27
"Viitor Râmnicu Vâlcea",Rumänien,43454755,13438103,30016652,27.59
"Inter Wexford",Irland,41799672,11897500,29902172,24.95
"Viktoria Erndtebrück",Deutschland,82159410,52340411,29818999,20.65
"Boćnust Podgorica",Montenegro,36614294,6889529,29724765,25.50
"FC Den Haag",Niederlande,735444134,705828286,29615848,23.95
"CS Lanzarote",Spanien,52480403,22875293,29605110,26.87
"Uniøn Bryne",Norwegen,35517745,5957532,29560213,26.73
"FK Faro",Portugal,50905248,21350857,29554391,27.00
"FSI Novosibirsk",Russland,72467848,42934610,29533238,27.32
"UD Alcoi",Spanien,56455126,26925997,29529129,26.18
"SK Wrocław ",Polen,36038503,6532665,29505838,27.00
"FC Štip 95",Mazedonien,36113093,6718796,29394297,25.70
"Germania Pohlheim",Deutschland,45469357,16163606,29305751,25.50
"FK Dunfermline",Schottland,46438829,17249622,29189207,26.09
"SK Mjøndolen",Norwegen,43226897,14082602,29144295,26.73
"SE Melilla",Spanien,33393641,4278633,29115008,26.77
"Stadt Brest 39",Frankreich,42222701,13115811,29106890,25.41
"ASK Karviná",Tschechien,32447843,3358727,29089116,26.48
"CO Alcorcón",Spanien,34088482,5020897,29067585,26.14
"Esportiva Covilhã",Portugal,37637824,8570694,29067130,26.86
"Swindon County",England,265985020,237470305,28514715,26.36
"Stenhousemuir SSC",Schottland,42721409,14265660,28455749,25.83
"FC Halle a.d.Saale",Deutschland,80331112,51934782,28396330,26.09
"Bullev Vratsa FK",Bulgarien,61239103,32846588,28392515,27.57
"Smehja Komsomolsk",Russland,44381086,15994535,28386551,25.27
"SSC Erfurt",Deutschland,43265040,14960040,28305000,27.22
"UK Wilrijk",Belgien,67457795,39236583,28221212,26.39
"SCU Sassuolo",Italien,40161851,11993310,28168541,25.77
"Neuwiener FK",Österreich,61856855,33749368,28107487,27.86
"Okzhlïmpïada Kokshetau",Kasachstan,50931807,22850593,28081214,26.91
"Union Liége FC",Belgien,124548739,96598806,27949933,27.23
"Športový Krásna",Slowakei,41608772,13665998,27942774,26.77
"FC Næstved",Dänemark,36524759,8593586,27931173,25.68
"Algarve Olhão",Portugal,51580438,23653038,27927400,26.95
"Truro Wildcats",England,87918819,60028721,27890098,26.73
"FC Galway",Irland,79418969,51540774,27878195,27.82
"Elektro Cottbus",Deutschland,53084613,25258903,27825710,27.59
"Leeuw Brakel",Belgien,34828467,7010376,27818091,26.86
"Leeds Athletic",England,80015761,52214333,27801428,26.83
"Inter Senica",Slowakei,49345143,21590311,27754832,27.32
"Petrol Wolfsburg",Deutschland,76871670,49284642,27587028,20.76
"KF Bosna Kakanj","Bosnien und Herzegowina",36850514,9273591,27576923,26.78
"Radnik Čačak",Serbien,56123224,28607635,27515589,26.35
"Siluro Grosseto",Italien,35474871,7985316,27489555,26.14
"SL Pastarossa",San Marino,71439715,43962146,27477569,26.95
"Chelmsford Community",England,49860637,22434382,27426255,27.74
"Spartak Žilina",Slowakei,60104127,32684942,27419185,25.96
"Oudenaarde SC",Belgien,56318850,28929915,27388935,27.30
"Alsace Mulhouse",Frankreich,91161388,63835404,27325984,26.65
"Niedercorn PG",Luxemburg,48872920,21589935,27282985,26.86
"Red Devils CF",Gibraltar,46545245,19279109,27266136,26.68
"Crișana Arad",Rumänien,61038148,33837247,27200901,28.30
"Aero Broughton",Wales,32934964,5734359,27200605,26.27
"ASS Frascati Rom",Italien,34735555,7681860,27053695,26.55
"US Høddvik",Norwegen,37493858,10563475,26930383,25.87
"Huvnar Tórshavn",Färöer,34653961,7755561,26898400,26.70
"KFK Kisvárda",Ungarn,36478360,9691312,26787048,26.73
Matalyaspur,Türkei,69565718,42785000,26780718,26.64
"US Jessheim",Norwegen,44077389,17304774,26772615,27.45
"Victória Estoril",Portugal,40586149,13904496,26681653,26.05
"Asturias Gijón",Spanien,91203169,64570714,26632455,26.96
"Trøndelag Levanger",Norwegen,34524690,7927500,26597190,26.82
"FV Nürnberg 1907",Deutschland,46310844,19729505,26581339,26.14
"Dilara Gor FC",Georgien,34187314,7639255,26548059,26.27
"SC Moreira de Cónegos",Portugal,56577988,30045445,26532543,25.78
"Sportivo Burgos",Spanien,55183844,28656082,26527762,25.41
"Nabyla Qostanai",Kasachstan,37872304,11379357,26492947,26.86
"AS Salerno Calcio",Italien,53644614,27273609,26371005,26.65
"Sedan FAC",Frankreich,35424736,9082443,26342293,25.83
"Pramy Minsk",Weißrussland,50123578,23813907,26309671,25.86
"FC Kalte",Estland,32049685,5771662,26278023,27.17
"Iruña Osasuna",Spanien,48586036,22310942,26275094,27.14
"Birmingham Villans",England,36455444,10209910,26245534,26.73
"Başektaş Istanbul",Türkei,137930954,111707614,26223340,24.41
"SD Arezzo",Italien,40140593,13953193,26187400,26.73
"Margates Owls",England,31674040,5602922,26071118,25.82
"SML Nyköping",Schweden,46153288,20116462,26036826,26.43
"Marche Verona",Italien,30382838,4401762,25981076,25.86
"FF Veldhoven 1928",Niederlande,36671503,10711255,25960248,27.86
"FK Samobor",Kroatien,40270119,14334590,25935529,27.86
"More Zvornik","Bosnien und Herzegowina",30639276,4741582,25897694,26.09
"Bala City",Wales,37177087,11309933,25867154,25.95
"Guijuelo CF",Spanien,45235924,19389832,25846092,26.52
"JS Jako Pietarsaari",Finnland,54929966,29111795,25818171,26.14
"FF Methil 05",Schottland,32748950,7014270,25734680,26.64
"Primorje Vladivostok",Russland,47717939,21996991,25720948,26.91
"FC Zagreb",Kroatien,29462662,3758065,25704597,26.55
"Derry United",Irland,213029373,187338262,25691111,28.77
"AFC Tullamore",Irland,56805793,31122407,25683386,27.59
"OB Kiew",Ukraine,32096439,6452600,25643839,26.91
"Barrow Bees",England,35182308,9592896,25589412,26.45
"Intra Pula 1948",Kroatien,33261495,7675788,25585707,27.64
"Almad Diyarbakır ",Türkei,36297190,10734769,25562421,26.86
"Garonne Bordeaux",Frankreich,50901977,25402382,25499595,26.65
"Štirovnik Cetinje",Montenegro,53741126,28320394,25420732,25.41
"Mazowieckie Ząbki",Polen,33413289,8020041,25393248,25.59
"FK Kılkarelispurt",Türkei,49851268,24461320,25389948,26.86
"FC Piteå",Schweden,39812140,14435098,25377042,28.45
"Séfélag Selfoss",Island,44576409,19253754,25322655,26.86
"PAS Dunaújváros",Ungarn,35126430,9826581,25299849,26.09
"Délkeleti Kispest",Ungarn,75214493,49924123,25290370,28.45
"Union Zulte Waregem",Belgien,29826874,4645387,25181487,26.14
"Oabla Koper",Slowenien,35178257,10030974,25147283,27.95
"SSC Lecce",Italien,40031454,14894772,25136682,26.91
"Druja Pakruojis",Litauen,40308372,15177337,25131035,27.59
"SWK Khabarosvk",Russland,49834998,24931842,24903156,25.41
"IKK Falkenberg",Schweden,42298759,17410631,24888128,26.78
"FK Groesbeek 29",Niederlande,57526948,32652570,24874378,26.41
"Union Celje",Slowenien,58067222,33277951,24789271,26.50
"Sporting Oliveira",Portugal,34652050,9883831,24768219,26.73
"KF Welski Sofia",Bulgarien,68305636,43655772,24649864,27.23
"AFK Amstetten",Österreich,30247745,5613811,24633934,27.95
"FSV Flensburg",Deutschland,259747125,235169645,24577480,25.38
"FSV Alm Bielefeld",Deutschland,58557251,34002808,24554443,25.86
"RV Bocholt 22",Belgien,36700398,12237916,24462482,26.26
"Deportiva Llagostera",Spanien,50205419,25825854,24379565,27.86
"KF Tărlungeni",Rumänien,30621398,6241835,24379563,26.27
"CD Málaga",Spanien,549518173,525147110,24371063,25.46
"Galicia Lugo",Spanien,68708592,44345997,24362595,27.26
"Cnopty Taraz",Kasachstan,39099073,14758141,24340932,26.09
"VS Angyal Budapest",Ungarn,65118810,40780352,24338458,27.00
"Lok Tambov",Russland,45289582,20960922,24328660,27.00
"Augsburger SV",Deutschland,85840562,61526538,24314024,26.20
"Atletic Pembroke",Malta,33648505,9362575,24285930,26.09
"FK Opuzen",Kroatien,28960908,4695111,24265797,26.05
"Ata Balıkesir",Türkei,48672730,24411890,24260840,27.50
"FKS Liefering",Österreich,64128810,39897102,24231708,27.50
"Lappi Rovaniemi",Finnland,73688082,49526981,24161101,27.59
