Vereinsname,Land,"aktueller Marktwert",Ablösesummen,Differenz,Durchschnittsalter
"Real Majadahonda",Spanien,467689695,365536262,102153433,26.63
"FC Roma",Italien,656422352,555455407,100966945,26.09
"Gaza Mediaș",Rumänien,333267858,235960017,97307841,23.06
"SV Porta Trier",Deutschland,190542577,93734459,96808118,24.28
"Northampton Cobs",England,181442267,86444143,94998124,24.96
"FKPG Saalfelden",Österreich,277789423,183120105,94669318,25.55
"Gunçlorbirleği AK",Türkei,304983224,210486228,94496996,21.58
"Everton Soccer",England,353173548,259277534,93896014,28.05
"London Gunners",England,587141783,496182251,90959532,26.61
"TKF 1915 Šamorín",Slowakei,382608316,292231554,90376762,22.86
"Lappi Rovaniemi",Finnland,200379988,110367709,90012279,26.54
"FV Nürnberg 1907",Deutschland,333259249,243677228,89582021,23.53
"ASC Dakari",Lettland,208000343,119041429,88958914,23.88
"Tottenham Rooster",England,557580446,468843823,88736623,26.50
"Sedan FAC",Frankreich,298059697,210271176,87788521,24.52
"Ballsport Dortmund",Deutschland,184229267,96589933,87639334,20.41
"Mainzer FC",Deutschland,470463252,382988706,87474546,26.33
"Leyton London",England,149378138,63915116,85463022,28.05
"SD Amorebieta",Spanien,552321293,469383646,82937647,27.18
"Cork United",Irland,310305343,229272598,81032745,26.42
"SK Münchener Löwen",Deutschland,222293918,142921292,79372626,26.48
"FV Molde",Norwegen,137346916,58457475,78889441,22.09
"VC St.-Gilloise Vorst",Belgien,111554645,32674559,78880086,26.30
"SV Basel",Schweiz,232210497,153773825,78436672,24.84
"Preston City",England,580237538,502426399,77811139,25.20
"CFC Barcelona",Spanien,393977202,317177364,76799838,25.46
"Virginia Turin",Italien,221332007,145236940,76095067,26.74
"SV Intra Leipzig",Deutschland,140839165,64782771,76056394,25.00
"SSC Vilafranca",Spanien,79043824,4146954,74896870,26.50
"1. FC Neckarelz",Deutschland,93000355,18865850,74134505,25.43
"Hansa Barmbek",Deutschland,247784003,174492225,73291778,23.61
"Wimbledon Soccer",England,287286854,216299748,70987106,25.05
"Rouge Stern Paris",Frankreich,391197842,321300026,69897816,26.36
"SSC Halle",Deutschland,307467173,239187899,68279274,23.32
"Tvøroyri BF",Färöer,249860613,181707883,68152730,23.08
"Brighton Seagulls",England,427083815,359277869,67805946,25.00
"Lukumotiva Moskva",Russland,208946511,142259207,66687304,27.09
"Międzynar Bełchatów",Polen,73306633,6885008,66421625,26.50
"FSV Alm Bielefeld",Deutschland,169357678,103740206,65617472,25.00
"SpVgg M´gladbach",Deutschland,716287736,650672670,65615066,25.08
"Eintracht Hadamar",Deutschland,164602777,99113001,65489776,23.72
"TSG Aschaffenburg 04",Deutschland,173184129,107787241,65396888,22.78
"Kilkee FC",Irland,122602004,57334925,65267079,24.70
"Mantova Calcio",Italien,97745928,32732938,65012990,27.70
"RPF Kaiserslautern",Deutschland,117803271,53093011,64710260,22.27
"HSC Hamburg",Deutschland,310051509,246316107,63735402,25.22
"BFV München",Deutschland,338986368,275422349,63564019,24.72
"Dundalk Soccer",Irland,192244575,130050078,62194497,26.87
"POTE Baryssau",Weißrussland,65314560,3426468,61888092,25.64
"Sportive Épinal",Frankreich,473724178,412171561,61552617,26.43
"FK Pirin Simitli",Bulgarien,69669378,8883511,60785867,24.95
"Borussia Fürth",Deutschland,124720549,64092226,60628323,23.95
"Lok Trnje",Kroatien,67982907,8937560,59045347,26.32
"CV Milan",Italien,868525462,810701343,57824119,24.00
"Sardigna Nuorese",Italien,136132391,78310635,57821756,27.78
"AC Cagliari",Italien,190554943,132879262,57675681,25.92
"Intra Pula 1948",Kroatien,118720787,61285345,57435442,27.41
"FK Fanorbohçe",Türkei,354808061,297462554,57345507,25.82
"RCD Formentera",Spanien,94039837,37003458,57036379,22.55
"SSC Altach",Österreich,317537378,261107903,56429475,25.35
"CDO Dijon",Frankreich,89052724,33525846,55526878,27.27
"Hansa Bremen",Deutschland,585245498,532857112,52388386,24.45
"Central Vigo",Spanien,119025114,66870080,52155034,26.86
"SK Sokolov",Tschechien,60795663,8976020,51819643,25.95
"BSV Auerbach",Deutschland,84872782,33713284,51159498,25.82
"SC Kogge Rostock",Deutschland,168704580,118042968,50661612,26.50
"Spartak Podbrezová",Slowakei,122724424,72306935,50417489,27.48
"SF Trabzon 2007",Türkei,73821180,23808313,50012867,24.68
"HB Edinburgh",Schottland,84158308,34809664,49348644,27.18
"SV Monopoli Calcio",Italien,58754435,9446342,49308093,25.13
"Cyprus Aradippou",Zypern,52226128,3329266,48896862,26.61
"Italia Santarcangelo",Italien,78558633,29959971,48598662,25.73
"Zemlja Bălți",Moldawien,70738644,22231624,48507020,26.74
"SFV Koblenz",Deutschland,419427852,371010556,48417296,27.50
"London`s Park Rangers",England,74563603,26228160,48335443,27.45
"RBS Pforzheim",Deutschland,135828356,87564913,48263443,25.95
"Atletico Bergamo",Italien,173467784,125841289,47626495,28.04
"SAK Helsinki",Finnland,88819009,41397755,47421254,25.48
"Garonne Bordeaux",Frankreich,81005954,33601987,47403967,26.04
"ACF Hamilton",Schottland,55617533,8355760,47261773,26.14
"Manchester Devils",England,554883110,507675034,47208076,26.00
"Atletický Myjava",Slowakei,50475728,3491214,46984514,24.45
"Real Huesca",Spanien,58004392,11652239,46352153,27.35
"AC Alessandria",Italien,57826976,11740253,46086723,26.23
"Esportiu Reus",Spanien,129892834,83832334,46060500,26.65
"FK Great Britain XIV",Gibraltar,55794257,9856528,45937729,26.65
"Unión Madeira",Portugal,56340596,10504843,45835753,27.23
"Radnički SB",Kroatien,51009232,5294015,45715217,27.27
"Atlético Gondomar",Portugal,53945512,8313359,45632153,26.55
"Parisien FK",Frankreich,86502228,41038233,45463995,25.48
"Leipziger SV",Deutschland,62245089,16972215,45272874,26.43
"KV Tra Fiora",San Marino,60629649,15450505,45179144,25.86
"IFK Stømsgudsot",Norwegen,319530550,275548443,43982107,24.71
"CF Croix",Frankreich,95876475,51913475,43963000,28.65
"Union Kehl 1906",Deutschland,62187276,18669264,43518012,24.74
"WFV Ennepetal",Deutschland,58864934,15375311,43489623,25.68
"SFC Rostov",Russland,61177037,17736585,43440452,26.91
"Borussia Wuppertal",Deutschland,102771246,59612817,43158429,25.40
"Union Magdeburg",Deutschland,549744426,506780686,42963740,24.22
"FV Vic Plzeň",Tschechien,270555715,227778456,42777259,24.37
"Macclesfield Roses",England,144347270,101594072,42753198,29.14
"Ipswich Boys",England,130435471,87953061,42482410,26.77
"STG Sannois Foot",Frankreich,53032258,10842724,42189534,25.68
"Birmingham Town",England,148401847,106226748,42175099,26.52
"OS St.-Étienne",Frankreich,51221009,9154332,42066677,27.05
"1. FK Vienna 1895",Österreich,93788875,52089036,41699839,26.64
"Burton United",England,174124432,132695502,41428930,28.05
"BD Hønefoss",Norwegen,88678396,47431705,41246691,27.14
"Atletik Nikosia",Zypern,74863264,33618931,41244333,27.70
"POSK Saloniki",Griechenland,44288501,3715983,40572518,25.36
"VfL Braunschweig",Deutschland,46635810,6135346,40500464,27.30
"Charleroi Zèbre ",Belgien,43861171,3473868,40387303,25.41
"Lohfelder FC",Deutschland,229178316,188923738,40254578,24.22
"Bólt Tórshavn 36",Färöer,63277093,23110946,40166147,26.52
"Pobizhno Poltawa",Ukraine,43591576,3692688,39898888,26.73
"Sachen Markranstädt",Deutschland,72156540,32320258,39836282,25.09
"Torpeda Luzk",Ukraine,63202540,24015448,39187092,27.36
"FK Leverkusen",Deutschland,155556902,116709760,38847142,23.36
"Inizio Gavorrano",Italien,46921316,8453658,38467658,27.36
"Viktoria Sittard",Niederlande,79793847,41447827,38346020,26.64
"BH Oradea",Rumänien,55560832,17348277,38212555,26.57
"HSV Concorde",Deutschland,89087338,51276420,37810918,24.78
"VfB Elversberg",Deutschland,234652296,196923841,37728455,20.35
"Arbroath Soccer",Schottland,47370868,9689538,37681330,26.04
"UD Alcoi",Spanien,48547800,11000907,37546893,25.41
"Vedeaux Luçon",Frankreich,42627093,5240436,37386657,26.32
"HS Klabi 2005",Finnland,43641203,6356616,37284587,27.36
"Victoria Düsseldorf",Deutschland,135802902,99298098,36504804,25.39
"IK Ängelholm",Schweden,54299715,17855867,36443848,27.55
"Depur San Fernando",Spanien,47967166,11735660,36231506,27.45
"AS Ribelle Ravenna",Italien,42848847,6729314,36119533,27.14
"RV Bocholt 22",Belgien,81179463,45274829,35904634,26.41
"Canaria Las Palmas",Spanien,72234631,36954990,35279641,19.65
"Dnipropetrovsk FC",Ukraine,60087051,24832763,35254288,27.00
"RCD Sestao",Spanien,52199029,17051779,35147250,26.41
"FC Peairt 1885",Schottland,64448448,29372958,35075490,27.23
"Sportiva Caserta",Italien,42135035,7148428,34986607,26.50
"Čukarički Belgrad",Serbien,50087597,15184291,34903306,25.61
"POK Livadia",Griechenland,68980429,34178158,34802271,27.04
"Olympia Marseille",Frankreich,140153578,105416855,34736723,27.17
"NFV Meppen",Deutschland,81781360,47053080,34728280,26.05
"Lealta Villaviciosa",Spanien,62518858,27832169,34686689,27.18
"Ciltic Glasgow",Schottland,215062708,180419994,34642714,27.50
"Royal Oviedo",Spanien,43877018,9268866,34608152,26.41
"Union Celje",Slowenien,45575516,11105734,34469782,26.91
"SH Eastleigh",England,39782162,5361666,34420496,26.50
"Tórniko Zabrze",Polen,46306111,12221867,34084244,24.59
"US Mallorca",Spanien,102624973,68833434,33791539,26.42
"Juve Francavilla",Italien,45419746,11847365,33572381,27.36
"Benfica Luxemburg",Luxemburg,39708735,6215681,33493054,26.36
Keçiürspor,Türkei,45103456,11659436,33444020,27.64
"Intra Sozopol",Bulgarien,38981399,5652374,33329025,26.18
"Kobuleti FC",Georgien,63967055,30701066,33265989,28.32
"FK Oulu",Finnland,47601565,14393195,33208370,28.27
"Eteenpäin Valkeakoski",Finnland,46925466,13733418,33192048,27.45
"Vhoru Oleksandrija ",Ukraine,54417797,21327487,33090310,27.36
"FC Geras Basel",Schweiz,47432897,14373029,33059868,27.82
"Kassaly Tschymkent",Kasachstan,36559587,3583583,32976004,26.05
"Stalybridge Workers",England,54260150,21330026,32930124,28.32
"Inter Floriana",Malta,88574916,55690670,32884246,27.91
Misaniaspocht,Türkei,38813573,5996795,32816778,25.64
"KV Aschtarak",Armenien,43203263,10547936,32655327,26.32
"Gharabagh Ağdam",Aserbaidschan,60231602,27949843,32281759,27.41
"Metal Berceni",Rumänien,40906661,8845086,32061575,27.27
"Derry United",Irland,93744634,61852965,31891669,25.86
"Hanka Espoo",Finnland,41878827,10045215,31833612,26.86
"Rakvera JK",Estland,42920440,11381205,31539235,27.09
"KS Korobii Peshpope",Albanien,74606576,43143538,31463038,26.96
"Lincool FC",Gibraltar,57370872,25938846,31432026,27.41
"Linzer AK",Österreich,66120922,34730043,31390879,26.30
"PF Orienta Varna",Bulgarien,94399334,63198251,31201083,25.68
"FK Niepołomice 1919",Polen,46870851,15750233,31120618,26.59
"RCD Sinarcas",Spanien,53714662,22708711,31005951,27.68
"SWK Khabarosvk",Russland,47314024,16396751,30917273,25.43
"VF Groningen",Niederlande,56818409,25902280,30916129,26.82
"KS Leftra Gjirokastër",Albanien,77469852,46560171,30909681,28.14
"Rudar Kerkrade",Niederlande,136735467,105893453,30842014,28.04
"SSV Hoffenheim",Deutschland,149843210,119053083,30790127,23.52
"FK Baden Heiligenkreuz",Österreich,72140605,41436438,30704167,27.52
"GAS Ajaccio",Frankreich,42971017,12384671,30586346,26.36
"Spartak Jablonek",Tschechien,37126745,6641790,30484955,26.82
"KVI Stavanger",Norwegen,75014009,44624921,30389088,25.23
"AT Fostiras",Griechenland,36688485,6392607,30295878,25.59
"Royal Eupen",Belgien,34820506,4541486,30279020,26.09
"Lok Tambov",Russland,51061246,20792255,30268991,26.68
"NL Barendrecht",Niederlande,34785677,4584390,30201287,27.23
"FK Opuzen",Kroatien,36157847,6022298,30135549,28.23
"St. Patrick CF",Schottland,53639159,23559344,30079815,27.09
"FK Sachsen Aue",Deutschland,101616165,71549942,30066223,26.26
"SSC Wörgl",Österreich,35381020,5474709,29906311,25.48
"Aquilos Campobasso",Italien,34045190,4249179,29796011,26.55
"FC Anker Perm",Russland,121278581,91492794,29785787,27.61
İstanbulspocht,Türkei,70523297,40779458,29743839,28.14
"Hellas Agrinio",Griechenland,46697335,17077547,29619788,28.64
Matalyaspur,Türkei,37691794,8087550,29604244,27.09
"GKS Szczecin",Polen,103692491,74089439,29603052,26.96
"Greenock AFK",Schottland,46321608,16719685,29601923,26.43
"FCU Haibach",Deutschland,48909993,19392317,29517676,20.05
"Slagelse SL",Dänemark,125793647,96310195,29483452,27.27
"Draak Hertogenbosch",Niederlande,52948445,23582979,29365466,27.46
"Kleeblatt Oberhausen",Deutschland,63037029,33676523,29360506,27.00
"Segregrcy Suwałki",Polen,52282307,22953464,29328843,26.57
"FK Storm Graz ",Österreich,89300253,60050665,29249588,27.36
"VfL Steinbach",Deutschland,36119571,6941103,29178468,26.14
"SU Leganés",Spanien,33078282,3947312,29130970,27.35
"Nuneaton City 1902",England,38015204,8903629,29111575,26.73
"Petrol Wolfsburg",Deutschland,36818594,7742071,29076523,25.59
"Święto Kielce",Polen,43104408,14062216,29042192,27.82
"TSF Larvik",Norwegen,40410518,11444458,28966060,25.64
"FC Inter Znojmo",Tschechien,197411752,168449553,28962199,25.83
"BFC Freiburg",Deutschland,47397879,18478066,28919813,27.25
"KSK Radomlje",Slowenien,37904961,9019341,28885620,27.23
"Athletic Tuam",Irland,37526034,8718777,28807257,25.17
"Atletism Balotești",Rumänien,41284351,12581304,28703047,25.95
"PC Strasbourg",Frankreich,34422584,5728258,28694326,26.18
"AEK Elefsina",Griechenland,48023574,19383638,28639936,27.27
"FK Zlín 1920",Tschechien,73432206,44802480,28629726,25.35
"Smehja Komsomolsk",Russland,43966343,15347279,28619064,26.00
"Desportivo Famalicão",Portugal,40276419,11693217,28583202,27.59
"Concordia Rieti",Italien,36620813,8038160,28582653,26.04
"Leeuw Brakel",Belgien,53530406,25028001,28502405,26.55
"FVA Hard",Österreich,42172780,13693781,28478999,25.77
"SHV Passau",Deutschland,32722476,4316767,28405709,26.32
"Udinese CF",Italien,51473760,23164821,28308939,27.61
"FK Tarxien",Malta,78512848,50238454,28274394,27.00
"ASK Paços de Ferreira",Portugal,34506367,6244696,28261671,26.50
"FC Foggia",Italien,43803620,15650621,28152999,27.17
"KS Adanaspur",Türkei,51943391,23795812,28147579,25.95
"Beštije Kotor",Montenegro,50968323,22980580,27987743,26.78
"IFK Malmö",Schweden,117452343,89593164,27859179,27.17
"Unì Viseu",Portugal,34757146,6907986,27849160,25.70
"Manchester Bury",England,38007866,10255082,27752784,26.64
"Srednjo Vitez","Bosnien und Herzegowina",37329165,9697738,27631427,25.36
"Slavonia Brdo",Kroatien,33534727,5904237,27630490,26.95
"Robot Skopje",Mazedonien,56281814,28688610,27593204,26.65
"Ascoli Calcio 1895",Italien,43682313,16423939,27258374,27.73
Dzenlispur,Türkei,48735498,21515683,27219815,26.82
"Tiflis SC",Georgien,44904421,17731054,27173367,27.05
"KS Kostrote Krujë",Albanien,44450481,17323676,27126805,27.36
"AQ Fréjus-St.Raphaël",Frankreich,43875701,16773072,27102629,26.61
"Swansea Town",England,39793028,12721805,27071223,26.95
"SSC Bremen 1915",Deutschland,184115666,157107632,27008034,26.74
"Munster Limerick",Irland,40052794,13101545,26951249,26.82
"FK Golfo di Stabia",Italien,36447072,9881677,26565395,26.55
"SSK Šiauliai",Litauen,56543960,30032617,26511343,26.95
"SK Ústí",Tschechien,30551527,4138542,26412985,26.95
"CP London Eagles",England,139763728,113379453,26384275,26.74
"HSV Frankfurt",Deutschland,47600757,21267282,26333475,25.27
"FC Ballinamallard",Nordirland,29955666,3693976,26261690,26.86
"Ultra Dvor KF",Mazedonien,35301928,9106721,26195207,27.45
"AK Istočno 1909","Bosnien und Herzegowina",40151655,13990479,26161176,25.32
"Rata Macerata 1919",Italien,51348572,25217131,26131441,28.04
"Sporting Arouca",Portugal,38108382,12056178,26052204,26.61
"ASK Oberwart",Österreich,138210068,112195259,26014809,24.96
"ACF Ayr",Schottland,40591178,14579795,26011383,25.73
"Asınördü İzmir",Türkei,39395143,13396949,25998194,27.64
"Avanti Siena",Italien,29647790,3658555,25989235,26.68
"Olimpico Estarreja",Portugal,69640328,43684683,25955645,26.32
"Cnopty Taraz",Kasachstan,51540552,25588432,25952120,27.87
"1. FV Würzburg",Deutschland,535147496,509244517,25902979,24.94
"Birmingham Villans",England,71092540,45192002,25900538,27.08
"Häcken GB",Schweden,32174735,6328824,25845911,26.45
"Uerdinger FSK",Deutschland,87225032,61385109,25839923,26.55
"FC Angelen",Gibraltar,29465847,3718491,25747356,27.77
"Ejderi Kayseri",Türkei,102717068,77029608,25687460,27.23
"Duna Paksi",Ungarn,91902674,66215588,25687086,27.77
"Intra Avellino",Italien,96383068,70727316,25655752,27.55
"Tweede Enschede",Niederlande,38657563,13012208,25645355,26.32
"Sport Qäbälä",Aserbaidschan,29022257,3412157,25610100,26.36
"KA Larisa",Griechenland,36623618,11084545,25539073,26.27
"US Lyon 1965",Frankreich,55177554,29650901,25526653,27.59
"Athlitikó Smyrna",Griechenland,61602249,36157984,25444265,27.82
"SSC Cesena",Italien,39339752,13902395,25437357,27.36
"Vík Ólafsvík 1927",Island,42133903,16698722,25435181,26.68
"Cardiff Dragons",England,62411892,37037014,25374878,27.55
"FK Nancy",Frankreich,32319484,6987623,25331861,26.36
"Sportiva Tondela",Portugal,44922734,19645697,25277037,25.61
"Holstein Steinburg",Deutschland,33676072,8448958,25227114,26.30
"AOL Satu Mare",Rumänien,42309741,17088736,25221005,25.55
"Leuven Duivels",Belgien,54192013,29021735,25170278,26.57
"SC Guédiawaye",Lettland,31603294,6438834,25164460,26.82
"Előre Szombathely",Ungarn,48804162,23646054,25158108,28.77
"SSV Kapfenberg 09",Österreich,93210819,68145172,25065647,27.23
"York Soccer",England,31874456,6905592,24968864,25.45
"Hurricàn Valencia",Spanien,45667191,20867891,24799300,26.68
"SB Lorient",Frankreich,41676741,16882500,24794241,27.00
"SL Martin 1995",Slowakei,31102586,6378343,24724243,26.00
"SCU Sassuolo",Italien,28928585,4298985,24629600,26.91
"Sliema Nomads",Malta,37902148,13425990,24476158,27.32
"Concorde Colmar",Frankreich,112019244,87650853,24368391,27.09
"FV Venlo 02",Niederlande,84085081,59769060,24316021,26.73
"FC Kirchbichl",Österreich,28276599,4086677,24189922,26.86
"Club Heist",Belgien,35124921,11025671,24099250,27.50
"SP Palma de Inca",Spanien,38222567,14153155,24069412,26.36
"Saint Ptuj 1935",Slowenien,52726231,28664448,24061783,28.36
"CSA Suceava",Rumänien,41412925,17364346,24048579,26.91
"VK Norðragøta",Färöer,50496269,26603882,23892387,27.36
"SE Zalaegerszeg",Ungarn,51110183,27343979,23766204,27.73
"SK Auster Lustenau",Österreich,93979154,70243578,23735576,25.86
"FC Caen",Frankreich,27738395,4132456,23605939,27.27
"VS Acquaviva",San Marino,32104599,8540981,23563618,27.45
"Fier Galați",Rumänien,42882906,19357435,23525471,25.86
"JSV Göttingen 1908",Deutschland,34935205,11423590,23511615,27.27
"FC Demba",Lettland,40663592,17167361,23496231,27.09
"Bromma Stockholm",Schweden,73569663,50078472,23491191,26.55
"Union Liége FC",Belgien,32880448,9439951,23440497,27.27
"FSC Großes Aspach",Deutschland,46131013,22771137,23359876,26.05
"KF Novorosskiysk",Russland,44189997,20854903,23335094,27.00
"Beanos Stirling",Schottland,35990359,12667135,23323224,25.32
"Glasgow Randers",Schottland,81024880,57778316,23246564,27.45
"Møre Kristiansund",Norwegen,41641668,18416957,23224711,26.52
"Elektro Cottbus",Deutschland,77892065,54761279,23130786,25.58
"Dinamo Šibenik",Kroatien,41399026,18279210,23119816,27.14
"CO Alcorcón",Spanien,51731876,28723901,23007975,27.52
"FC Belém",Portugal,33470166,10473778,22996388,27.91
"Olympique Geel",Belgien,37737225,14745389,22991836,26.32
"Stade Bern 95",Schweiz,26257440,3269398,22988042,27.27
"Atlético Xàtiva",Spanien,31636882,8658199,22978683,27.59
"Athlitikó Serres",Griechenland,27598705,4727459,22871246,27.05
"RV Cumbernauld",Schottland,37016009,14393120,22622889,26.71
"Atlétika Csákvár",Ungarn,28761663,6159190,22602473,27.32
"KFC Waalwijk 41",Niederlande,27655989,5072963,22583026,27.05
"Samtredia United",Georgien,41994345,19453732,22540613,26.57
"Esportiva Ponferrada",Spanien,62613353,40078384,22534969,28.77
"Veržej SC",Slowenien,42324354,19791001,22533353,25.18
"Union Lommel",Belgien,31352081,9018807,22333274,26.73
"Gimnastio Sanluqueño",Spanien,27726577,5393370,22333207,26.32
"Sportive Tours",Frankreich,49632697,27331804,22300893,26.13
"Lokhtar Soligorsk",Weißrussland,29687889,7400634,22287255,26.61
"SS Pâncota",Rumänien,55086741,32810756,22275985,26.74
"Falkirk United",Schottland,43912644,21718265,22194379,28.82
"Inter Eichstätt",Deutschland,35516659,13356275,22160384,26.27
"Moravica Lučani",Serbien,33018556,10932812,22085744,26.04
"FK Viborg",Dänemark,26073253,4005680,22067573,26.59
"SpVgg Münster 1908",Deutschland,679816166,657755941,22060225,24.09
"Unión Elda",Spanien,32797979,10825951,21972028,26.41
"SAK Solna",Schweden,53040664,31075247,21965417,25.83
"SK Utrecht",Niederlande,73406377,51446153,21960224,27.00
"AFK Pomorie",Bulgarien,32029712,10095112,21934600,27.00
"Inter Campodarsego",Italien,38075638,16146898,21928740,26.23
"Intra Orašje","Bosnien und Herzegowina",33918662,12003453,21915209,26.86
"Cycle Brugge FC",Belgien,27810059,5922768,21887291,27.23
"SA Nantes",Frankreich,30082527,8207332,21875195,24.73
"Puglia Andria",Italien,35751334,13988695,21762639,26.86
"Port Talbot County",Wales,26026411,4300890,21725521,25.41
"Metallica Mielec",Polen,27851846,6135686,21716160,27.14
"Tromsødahl FK",Norwegen,40904689,19219914,21684775,27.86
"SSV Pavia",Italien,41163686,19573302,21590384,26.96
"DTE Groesbeek",Niederlande,27150989,5609087,21541902,26.39
"Société Maasmechelen",Belgien,25229806,3702479,21527327,26.14
"FK Veľký Meder",Slowakei,25656531,4176760,21479771,26.95
"Olympique Dioa",Lettland,55194902,33722246,21472656,28.17
