Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Breda FC",Niederlande,135,113,355068761
"Fiatalok Felcsút AC",Ungarn,272,152,354857015
"QIF Göteborg",Schweden,173,147,354206257
"Huddersfield Sports",England,188,145,353687367
"Brentford Bees",England,188,126,350967757
"Sportivo Reggio",Italien,123,115,350737887
"Sportive Épinal",Frankreich,274,139,350733133
"Jylland Herning",Dänemark,278,105,350103249
"Eintracht Offenbach",Deutschland,194,108,349941664
"Iruña Osasuna",Spanien,116,102,349321340
"Nadyavam Dobrich",Bulgarien,138,133,348676029
"Dunawska Razgrad",Bulgarien,225,105,348297940
"Séfélag Selfoss",Island,150,101,348266094
"SpVgg Hauenstein",Deutschland,271,144,348066417
"ALS Auxerre",Frankreich,154,142,347659286
"Dynamit București",Rumänien,265,150,346536327
"AFC Milton Keynes 05",England,190,133,346006286
"Rhône Chasselay",Frankreich,269,134,345962684
"KSK Gent",Belgien,241,113,345674594
"Radar Pljevlja",Montenegro,175,142,345147967
"Farak Grosny",Russland,183,143,344316117
"SpVgg Kassel",Deutschland,178,104,343836964
"Chelsea Soccer",England,285,110,343263117
"VS Angyal Budapest",Ungarn,140,132,342478729
"Preußen Schweinfurt",Deutschland,210,120,342158847
"Union Neubrandenburg",Deutschland,218,104,341003096
"Pfalz Weiden",Deutschland,217,118,340807659
"AQ Fréjus-St.Raphaël",Frankreich,211,119,340570535
"FVV Hamburg",Deutschland,219,149,339760179
"BFV München",Deutschland,318,148,339627638
"CR Lučko",Kroatien,134,126,339411047
"FK Nancy",Frankreich,225,136,338525072
"AK Sluvaria Praha",Tschechien,266,122,337884777
"AS Oostende",Belgien,185,114,337768995
"Gimnastico Baleares",Spanien,232,166,337206937
"Petrol Wolfsburg",Deutschland,233,133,336873369
"Virginia Turin",Italien,308,136,336392957
"FC Panda Târgu Jiu",Rumänien,132,124,336233915
"Sedan FAC",Frankreich,154,127,336027747
"FV Vic Plzeň",Tschechien,227,140,335859703
"London`s Park Rangers",England,189,106,335350057
"HOM Edinburgh",Schottland,257,139,333794663
"FK Nisporeni",Moldawien,109,101,332491708
"Parathanikaos Athen",Griechenland,250,143,332097319
"Holstein Flensburg",Deutschland,228,134,332068062
"Saimaa Joutseno",Finnland,159,152,331686359
"ZKU Jekaterinburg",Russland,200,116,331548781
"SV Monopoli Calcio",Italien,121,114,331265482
"Rudar Dob SK",Slowenien,138,132,331247439
"Glückauf Köln 1950",Deutschland,208,123,331127856
"Dynamit Astana",Kasachstan,254,137,330503363
"ASK Paços de Ferreira",Portugal,335,72,330328782
"Accrington Albion",England,141,133,329407788
"SC Wecker Innsbruck",Österreich,266,140,329336784
"Nottingham Soccer",England,126,99,328708691
"FK Gračanica","Bosnien und Herzegowina",154,146,328651561
"Slavyani Sofia FK",Bulgarien,156,146,328440530
"Royaal Anderlecht",Belgien,226,139,327753393
"KFS Acharnes",Griechenland,120,112,327354039
"SGE Rheine",Deutschland,260,163,327126553
"Baia Mare CF",Rumänien,138,130,326341811
"VVC Brugge",Belgien,242,105,325482972
"Motherwell Soccers",Schottland,159,123,325111022
"SAK Łęczna",Polen,125,118,324893686
"Dynamit Kiew",Ukraine,220,123,324300035
"Stuttgarter Schützen",Deutschland,183,96,324113601
"Everton Soccer",England,241,156,323781023
"SHV Passau",Deutschland,157,120,323375923
"FC Galway",Irland,197,127,322814715
"Sportivo Leiria",Portugal,160,152,322814209
"CQ Wanderers",Wales,139,131,322512171
"Olympiakos Achna",Zypern,198,138,321623923
"Športno Gorica",Slowenien,141,134,321103196
"Sporting Genk",Belgien,198,91,320941771
"FV Badalona",Spanien,119,111,320029587
"FC Helsingstars",Finnland,172,127,317715044
"ISK Grindavík",Island,146,99,317257374
"Bavaria Buchbach",Deutschland,188,144,317180551
"Victória Estoril",Portugal,161,124,317158447
"Real Koksijde",Belgien,156,139,316813667
Matalyaspur,Türkei,144,136,316268825
"Uni Craiova",Rumänien,152,144,315541039
"Dinamit Barnaul",Russland,143,136,315411732
"ZG Rudeš 55",Kroatien,188,132,315063494
"SpVgg Münster 1908",Deutschland,216,109,314711530
"VIK Helsinki",Finnland,142,134,313718594
"Xäver Länkärän",Aserbaidschan,151,144,312687322
"Uzhi Makhachkala",Russland,155,140,312448258
"FC Anker Perm",Russland,122,112,312404352
"Kumpaty Lviv",Ukraine,133,126,311380737
"Vedeaux Luçon",Frankreich,156,148,310938568
"FC Belém",Portugal,172,136,309692113
"Linzer AK",Österreich,180,113,309138617
Sumsünspor,Türkei,172,136,309039852
"Könizer SK",Schweiz,242,117,308927644
"SL Béziers",Frankreich,166,130,308604878
"RCD Ejea",Spanien,169,136,307713813
"Real Majadahonda",Spanien,143,136,307456798
"MFC Budapest",Ungarn,151,115,307330021
"VS Acquaviva",San Marino,161,153,306845351
"Braintree Union",England,147,93,306523986
"FV Radan Kotor",Montenegro,138,131,306448163
"Munster Limerick",Irland,126,117,304893664
"Newcastle Union",England,193,108,304010356
"Udinese CF",Italien,230,131,303258626
"Lincool FC",Gibraltar,206,145,303146269
"GdL Leipzig",Deutschland,180,86,303054297
"Vlok Plovdiv",Bulgarien,130,123,302748775
"Bristol Sport",England,209,133,302671102
"FC Tiber",Italien,204,114,302309026
"1. FC Neckarelz",Deutschland,193,124,302057240
"Northampton Cobs",England,212,157,301876565
"Tottenham Rooster",England,289,155,301510324
"FC Florell",Estland,80,68,301499270
"Fáaðfara Reykjavík ",Island,172,144,300470303
"Preston City",England,180,105,300103849
"Eintracht Hadamar",Deutschland,177,153,299644977
"FC Alcantara 1943",Portugal,129,121,299644222
"AFK Osijek",Kroatien,206,124,298905256
"Lokhtar Donezk",Ukraine,223,133,298121564
"Brighton Seagulls",England,168,134,297296748
"Viktoria Erndtebrück",Deutschland,173,133,297212743
"Sodjìska Nikšić",Montenegro,158,150,296131700
"Esportiva Linares",Spanien,129,123,295818530
"ISF Ålesund",Norwegen,197,125,295222336
"Tvøroyri BF",Färöer,107,101,295196516
"FF Veldhoven 1928",Niederlande,124,90,294417956
"AS Metz",Frankreich,184,142,293218603
"FC Mbour",Lettland,141,133,292787637
"Anjel Trnava",Slowakei,141,133,292670615
"FK Storm Graz ",Österreich,174,98,292175955
"Birmingham Villans",England,200,155,292000949
"FC Hapa Tel-Avia",Israel,134,126,291836182
"SD Amorebieta",Spanien,142,119,291714656
"Barnsley UK",England,160,134,291349395
"Darkia Chișinău",Moldawien,143,135,291188673
"OFK Ski",Norwegen,115,107,290836463
"Coventry Town",England,224,161,290373325
"Victoria Düsseldorf",Deutschland,169,122,290252260
"SpVgg Lotte",Deutschland,205,114,289876642
"Sporting St. Truiden",Belgien,140,104,289614121
"FK Bojaro Tarnovo",Bulgarien,118,110,289297376
Peçzlikspocht,Türkei,134,126,288458498
"SAK Klagenfurt",Österreich,128,110,288388965
"IK Ängelholm",Schweden,123,116,287776746
"RCD San Sebastián",Spanien,177,107,287767393
"Kilkee FC",Irland,186,132,287638108
"FK Groesbeek 29",Niederlande,210,151,287550497
"PC Strasbourg",Frankreich,126,119,287284586
"Sportivo Bilbao",Spanien,214,126,286138768
"Þráttótur Reykjavík",Island,192,110,285371926
"Konyaaltı Antalya",Türkei,133,125,285117504
"Délkeleti Kispest",Ungarn,251,138,284861164
"Kriti Platanias",Griechenland,106,104,284219731
"Truro Wildcats",England,149,130,283725792
"Hurricàn Valencia",Spanien,144,118,283412506
"RW Meuselwitz",Deutschland,210,118,283283730
"FT Grenoble",Frankreich,123,87,283202144
"Ultra Dvor KF",Mazedonien,154,146,283013804
"Pats Dublin CF",Irland,105,97,282832995
"FC Miro Be’ér Shéva",Israel,125,119,282078683
"GV Barcelos",Portugal,149,141,281890943
"ÚJ Budapest FC",Ungarn,180,132,281617714
"Sicilia Catania",Italien,124,115,281535542
"FV Trabzonhir",Türkei,148,113,281196652
"SSC Zwolle 91",Niederlande,185,95,280683160
"Lava Southport",England,147,126,280578834
"Manchester Bury",England,156,104,280481386
"Rakvera JK",Estland,140,132,278801701
"FV Sevilla",Spanien,211,109,278743008
"Primorje Vladivostok",Russland,155,147,278471201
"FC Sabur",Georgien,155,110,278422590
"VC St.-Gilloise Vorst",Belgien,107,99,277407252
"FKS Kołobrzeg",Polen,139,131,277271747
"Unione Teramo",Italien,64,57,277252732
"Manchester Town",England,276,131,277074058
"Electric Aldershot",England,167,157,276770766
"Štirovnik Cetinje",Montenegro,119,112,276579952
"Rupida București",Rumänien,165,90,275824848
"Alğa Atyrau ",Kasachstan,132,125,275460854
"Leipziger SV",Deutschland,237,96,274794492
"US Lepe",Spanien,100,92,274663739
"KA Larisa",Griechenland,107,100,274285758
"Sporting Aarau",Schweiz,91,81,274266771
"Kokemäenjoki Pori",Finnland,134,126,273619586
"KSK Katowice",Polen,148,133,273561810
"AS Le Havre",Frankreich,157,119,273521156
"Inter Renate",Italien,123,116,273235867
"FKS Kriens",Schweiz,190,119,273106181
"Teplice CF",Tschechien,181,153,273049030
"Iän Åtvidaberg",Schweden,155,123,273036578
"Istria Novigrad",Kroatien,83,75,273026815
"KF Rila Razlog",Bulgarien,138,130,272310931
"AS Vicenza",Italien,157,146,272272962
"Slavia Liberec",Tschechien,146,120,272190210
"Royal Jaén",Spanien,132,124,272142415
"Zelena Stara Sagora",Bulgarien,102,95,271897222
"RBS Pforzheim",Deutschland,184,102,271839116
"Dalmatia Solin",Kroatien,131,122,271702644
"KN Galebi",Slowenien,117,109,270398607
"UCKA Moskva",Russland,144,93,269992585
"Sesvete Zagreb",Kroatien,128,121,269941417
"Chelyabinsk KV",Russland,146,138,269866583
"UD Alcoi",Spanien,109,97,269221450
"Sportiva Montegiardino",San Marino,150,124,268988245
"IFK Stømsgudsot",Norwegen,136,103,268490291
"SS Carrara",Italien,123,115,268210928
"Športový Trenčín",Slowakei,137,131,267987288
"BSV Auerbach",Deutschland,134,94,267841428
"Lok Tambov",Russland,157,149,267585985
"Cycle Brugge FC",Belgien,183,154,267176649
"RC Dingwall",Schottland,100,93,266987302
"KV Aschtarak",Armenien,89,81,266799691
"Santiago Somozas",Spanien,155,146,266697236
"Unionò Belluno",Italien,144,136,266636359
"FC Shmuk",Israel,130,123,266443391
"Zmajevi Gradačac","Bosnien und Herzegowina",132,126,266427516
"FC Ivantsminda",Georgien,128,120,266342420
"Spartak Žilina",Slowakei,152,145,266201986
"FKPG St. Johann ",Österreich,156,124,266170085
"Avernese Calcio",Italien,102,64,266145718
"OL Zmay Ljubljana",Slowenien,163,103,265415837
"Atletico Bergamo",Italien,129,113,265052748
"Găgăuzia Ceadîr-Lunga",Moldawien,141,134,264911861
"ZD Dordrecht",Niederlande,148,127,264444777
"FC Piacenza 1929",Italien,161,152,264134321
"SA Nantes",Frankreich,101,93,263244111
"Juvento Viterbo",Italien,135,127,263241625
"SK Frýdek-Místek 1921",Tschechien,122,115,262977827
"West Bromwich United",England,210,110,262887168
"Greenock AFK",Schottland,137,129,262815398
"ASL Šenčur 52",Slowenien,136,130,262551472
"SF Getafe",Spanien,160,130,262421692
"Leeds Athletic",England,243,134,262023040
"Inter Kajaani",Finnland,137,129,261749405
"Unì Viseu",Portugal,148,136,261442307
"Joseph`s United",Gibraltar,183,118,260533509
"KFK Kisvárda",Ungarn,138,128,260295197
Güresonsport,Türkei,137,122,260037899
"Roban Krasnodar",Russland,85,78,260020637
"FSI Mariehman",Finnland,191,120,259852499
"Sport Qäbälä",Aserbaidschan,111,104,259598220
"Jadera Zadar",Kroatien,161,152,259277140
"SSC Altach",Österreich,240,137,259182789
"NES Famagusta",Zypern,132,125,258848956
Apaçilespor,Türkei,161,153,258503198
"Møre Kristiansund",Norwegen,127,120,258128244
"TSG Goslar 1923",Deutschland,172,95,258105026
"Čukarički Belgrad",Serbien,275,141,257609159
"Intra Pula 1948",Kroatien,137,130,257463311
"Iris Saloniki",Griechenland,163,156,257404126
"Watford Elks",England,172,118,257402726
"Union Aplerbeck",Deutschland,162,153,257256815
"FK Zlín 1920",Tschechien,152,144,257194826
"AS Dunărea Giurgiu",Rumänien,136,123,256897686
"Viktoria Schaffhausen",Schweiz,153,145,256814200
"FV Maribor 61",Slowenien,143,135,256715083
"Woch Chorzów",Polen,118,109,256583049
"Usk Newport",England,140,132,256313300
"RSD Lucena",Spanien,125,117,255927787
"FK Novo Mesto",Slowenien,93,85,255900246
"Omiš FK",Kroatien,117,109,255868123
"SK Glimt Bodø",Norwegen,163,145,255765788
"Sportowy Krasnodar",Russland,153,118,255677905
"Zefçi Baku",Aserbaidschan,243,123,255498380
"Royal PG Valladolid",Spanien,151,142,255471023
"Juventus Dogana",San Marino,138,132,255385874
"FKK Annabichl",Österreich,153,147,254976762
"Alliance Køge ",Dänemark,182,116,254885088
"KVI Stavanger",Norwegen,241,122,254339221
"Carpi Calcio",Italien,227,107,254087652
"Phoenix Yerevan",Armenien,129,123,253876832
"Sporting Arouca",Portugal,152,133,253702697
"Arsenal Horsens",Dänemark,161,109,253316558
"Clonmel Town",Irland,98,90,253220469
"Vejle FF",Dänemark,97,85,253142669
"KFC Waalwijk 41",Niederlande,130,122,252760840
"SH Eastleigh",England,131,123,252589207
Misaniaspocht,Türkei,157,149,252538098
"KF Göteborg",Schweden,181,123,252328583
"Alsace Mulhouse",Frankreich,195,128,252165678
"Essener TSV",Deutschland,131,85,251991422
"GSI Örgryte",Schweden,137,130,251934294
"Olimpic Cobh",Irland,136,128,251892517
"Tiflis SC",Georgien,123,115,250416276
"Sport Umeå",Schweden,161,154,250328475
"Grafiká Vlašim CF ",Tschechien,121,113,250158924
"Colchester Albion",England,131,119,250035077
"FSI Novosibirsk",Russland,132,124,250019654
"Trøndelag Levanger",Norwegen,134,117,249631029
"TSK Ivanovo",Russland,138,132,249096111
"Berlin United",Deutschland,235,111,248760708
"VfL Altenholz",Deutschland,159,79,248728674
"AS Strassen",Luxemburg,114,107,248052671
"NK Niš",Serbien,144,128,247824665
"RSV Lingen",Deutschland,126,87,247811029
"Chelmsford Community",England,112,100,247593802
"RV Bocholt 22",Belgien,130,121,247587547
"SSC Lanciano",Italien,150,140,247127344
"St. Naas 1922",Irland,117,109,246835962
"Blau-Gelb Jena",Deutschland,199,119,246817838
"Niedercorn PG",Luxemburg,176,159,246530759
"KF Dunajská 1905",Slowakei,181,126,246510325
"Brackley Stars",England,156,84,246332985
"Eendracht Petegem",Belgien,145,113,246028817
"JS Jako Pietarsaari",Finnland,134,126,245877471
"STG Sannois Foot",Frankreich,116,108,245770851
"Eintracht Rudolstadt",Deutschland,115,100,245451380
"Southend Athletics",England,119,108,245428529
"Cardinal Woking",England,151,123,245374421
"Canarinhos Bragança",Portugal,115,109,245100143
"Red Devils CF",Gibraltar,126,115,244888001
"Gunçlorbirleği AK",Türkei,176,129,244865692
"SK Wrocław ",Polen,132,124,244521238
"Pramy Minsk",Weißrussland,151,143,244018920
"FK Petrol Hîncești",Moldawien,122,112,243430406
"Vidi Székesfehérvár",Ungarn,120,113,243151588
"Ebreichsdorfer AK",Österreich,248,121,243101963
"Atom Peristeri",Griechenland,117,110,243002118
"SSK Šiauliai",Litauen,139,131,242952629
"VfL Hof",Deutschland,152,100,242923625
"Sportsko Zenica","Bosnien und Herzegowina",205,108,242778151
"Kriger Helsingør",Dänemark,188,56,242618480
"Zhunya Kursk",Russland,137,130,242199640
"Concordie Constanța",Rumänien,137,129,242185566
"AS Boulonnais",Frankreich,232,117,241895749
"FK Ghastan 1925",Finnland,121,113,241793071
"EF Deinze",Belgien,142,132,241657054
"FC Logroño",Spanien,120,92,241619759
"FV Aranda de Duero",Spanien,126,118,241457526
"Bólt Tórshavn 36",Färöer,122,114,241341198
"ASK Petrovac",Montenegro,139,132,241140913
"Kesımboşaspar FK",Türkei,132,122,240983962
"Wehener SC",Deutschland,104,62,240924935
"BO Norrby",Schweden,106,99,240882117
"Zaan Alkmaar",Niederlande,101,83,240766340
"Atlético Tarragona",Spanien,139,122,240549604
"Shrewsbury United",England,145,130,240322177
"Krayer Kumpels",Deutschland,141,101,240311534
"Athletico Guimarães",Portugal,129,90,240224468
"FC Brinkum",Deutschland,127,89,240076736
"Sheffield Oils",England,138,115,239637101
"FKS Liefering",Österreich,152,141,239612837
"Rodóva Marijampolė",Litauen,140,124,239267526
"Asturias Gijón",Spanien,183,145,239191683
"Athletic Tuam",Irland,136,128,238294636
"SU Leganés",Spanien,126,97,238246093
