Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"AJ Valenciennes",Frankreich,293,158,490871030
"Atletico Bergamo",Italien,284,138,489430555
"MFC Budapest",Ungarn,229,142,488305256
"Ballsport Dortmund",Deutschland,326,139,486803518
"FC Helsingborg",Schweden,221,138,485561123
"FC Helsingstars",Finnland,233,116,485398075
"FV Venlo 02",Niederlande,325,175,485270167
"NFV Meppen",Deutschland,228,127,484589699
"Sportive Épinal",Frankreich,339,172,484292942
"VfL Braunschweig",Deutschland,284,152,483688001
"AS Cello Verona",Italien,264,157,483652069
"Thraki Komotini",Griechenland,273,139,483496438
"KF Lamia 1965",Griechenland,347,141,480041201
"AC Sportivo Madrid",Spanien,350,131,475744985
"Liverpool Reds",England,340,116,472004461
"SSV Kapfenberg 09",Österreich,250,132,470626714
"SGE Rheine",Deutschland,292,167,470341516
"WFV Ennepetal",Deutschland,290,77,469855955
"Jizera Boleslav",Tschechien,223,136,467340203
"FC Stoke 1865",England,256,158,466542804
"FC Narva Buse",Estland,170,119,466431335
"Glasgow Randers",Schottland,265,141,465724820
"FV Austrien Salzburg",Österreich,245,151,463029707
"Esportiu Reus",Spanien,252,128,461131966
"Royal Tilburg",Niederlande,312,191,460577809
"CF Croix",Frankreich,286,139,458155888
"Union Magdeburg",Deutschland,373,201,457477930
"SV Kalsdorf",Österreich,175,130,457426490
"Tottenham Rooster",England,376,177,457065357
"SSV Napoli",Italien,325,164,456609308
"Norwich Soccer",England,298,133,456334040
"Burton United",England,241,115,455550832
"Sportfreunde Spielberg",Deutschland,306,135,455362936
"SSV Hoffenheim",Deutschland,313,133,455291113
"SC Fiorentina",Italien,224,108,455109251
"Macclesfield Roses",England,305,157,454625472
"ASS Frascati Rom",Italien,236,110,453768815
"RPF Kaiserslautern",Deutschland,318,137,453197534
"Accrington Albion",England,162,124,452697046
"JSV Göttingen 1908",Deutschland,285,125,450965227
"FK Leverkusen",Deutschland,337,120,449240938
"ALS Auxerre",Frankreich,336,157,448952817
"Arsenal Mansfield",England,169,154,448580931
"Inter Eichstätt",Deutschland,233,152,448162344
"GdL Leipzig",Deutschland,234,100,446051496
"KFV Rijeka",Kroatien,253,139,445015556
"SSC Gillingham 1898",England,156,113,444988145
"Crawley Sports",England,279,191,439200135
"Birmingham Villans",England,230,100,437625150
"LB Bonfica",Portugal,310,146,436537594
"Wattenscheider Kickers",Deutschland,235,131,435468093
"Lukumotiva Moskva",Russland,301,111,434723767
"FSV Stuttgart",Deutschland,309,101,433838369
"SH Hammarby",Schweden,258,127,433375043
"BW Sandhausen",Deutschland,215,113,432716856
"Rouge Stern Paris",Frankreich,185,98,432692942
"FN Rotterdam",Niederlande,276,116,431997429
"Rot-Blau Bonn",Deutschland,228,119,431754535
"HSC Hamburg",Deutschland,348,153,431252790
"Welsh Wrexham",England,151,135,430862864
"KF Dunajská 1905",Slowakei,180,138,429661384
"ASC Dakari",Lettland,259,129,429517754
"Wigan Dynamic",England,226,147,428994443
"Walsall City",England,231,115,425058362
"Sportowy Sosnowiec",Polen,164,82,423674200
"FC Peairt 1885",Schottland,231,162,423166851
"Union St. Gallen",Schweiz,186,125,423070544
"Lohfelder FC",Deutschland,317,164,422529782
"SV Basel",Schweiz,257,138,422101446
"Huddersfield Sports",England,187,119,421683019
"Žaugija Vilnius",Litauen,344,178,421670513
"Olimpios Piräus",Griechenland,293,149,421082514
"Uerdinger FSK",Deutschland,280,164,420374930
"SC Wecker Innsbruck",Österreich,256,122,419546867
"Draak Hertogenbosch",Niederlande,210,104,417858287
"Slavia Domžale",Slowenien,255,151,416646577
"Elektro Cottbus",Deutschland,257,154,416313885
"AS Wasquehal",Frankreich,222,128,415686997
"Leyton London",England,325,167,415306462
"SK Auster Lustenau",Österreich,226,142,414105146
"FCB Aubstadt",Deutschland,195,132,411911096
"LOK Sarajevo","Bosnien und Herzegowina",266,160,408975335
"Brechin Town",Schottland,234,144,408815330
"TuS Darmstadt",Deutschland,241,158,406380823
"BSC Grohn",Deutschland,192,116,405344226
"Krayer Kumpels",Deutschland,258,116,403160175
"KB Sarıyer",Türkei,152,120,402972204
"CFC Barcelona",Spanien,346,131,402157631
"Leipziger SV",Deutschland,274,92,402066068
"Leicester Town",England,229,135,401780356
"FV Budapest",Ungarn,238,132,401109335
"SC St. Southampton",England,281,151,398216785
"Wallis Sion 08",Schweiz,226,137,398120260
"Derry United",Irland,291,177,396184568
"Sonnenhof Schönberg",Deutschland,181,112,395971410
"FK Baden Heiligenkreuz",Österreich,179,88,394899706
"SKK Hamburg",Deutschland,163,95,394652729
"Stalybridge Workers",England,208,134,393154145
"Northampton Cobs",England,326,129,391719031
"1. FC Neckarelz",Deutschland,182,106,390692428
"Sportiv Voluntari",Rumänien,154,147,388870389
"Augsburger SV",Deutschland,225,129,386765211
"IK Ängelholm",Schweden,120,112,385948612
"VfB Pyrbaum",Deutschland,147,101,384763705
"Sunderland City",England,187,120,383580567
"SFV Plauen",Deutschland,193,132,381417536
"Esportiva Covilhã",Portugal,139,133,379327747
"Slagelse SL",Dänemark,290,164,378206158
"Holstein Flensburg",Deutschland,326,173,377331747
"FKA Wacker Mödling",Österreich,249,161,375703004
"Blackpool Sea",England,213,114,375572975
"FK Eindhoven City",Niederlande,209,79,372883188
"FAC Wolfsberg",Österreich,294,100,372744162
"Union Rosenheim",Deutschland,167,112,372381812
"SSC Pirmasens",Deutschland,162,117,372082216
"SK Eugendorf",Österreich,213,129,371615418
"Maidenhead Doves",England,251,123,370460593
"Stal Kharkiv",Ukraine,208,119,370074252
"Naproijed Sisak",Kroatien,244,145,369356830
"Þráttótur Reykjavík",Island,215,141,369294791
"Pfalz Weiden",Deutschland,209,134,368643028
"Intra Mailand",Italien,366,116,368519186
"Ipswich Boys",England,234,126,368255117
"Cardinal Woking",England,246,159,366830363
"SD Amorebieta",Spanien,305,111,366132308
"VfL Altenholz",Deutschland,259,124,364920107
"KF Göteborg",Schweden,168,118,364554161
"Sportowy Tosno",Russland,158,150,364105068
"Forrest Bradford",England,156,99,363683904
"Sporting St. Truiden",Belgien,171,97,363607732
"Feniks Lovech",Bulgarien,134,128,363041747
"SSC Montpellier",Frankreich,225,100,362302047
"Dinamyt Minsk",Weißrussland,203,127,361393614
"SpVgg Hauenstein",Deutschland,210,93,361334594
"Wimbledon Soccer",England,181,92,360728354
"Inter Chiasso",Schweiz,148,139,360708991
"FK Ghastan 1925",Finnland,109,101,360099798
"Zmajevi Voždovac",Serbien,242,149,359390248
"Saarbrückener SC",Deutschland,242,133,358413729
"RPFV Worms",Deutschland,165,124,357826288
"SC Kogge Rostock",Deutschland,243,119,356880586
"Stuttgarter Schützen",Deutschland,242,107,356825566
"KS Leftra Gjirokastër",Albanien,167,158,356668988
"FK Ajaccio",Frankreich,222,96,355777533
"Glückauf Köln 1950",Deutschland,189,102,355676208
"Sporting Oliveira",Portugal,159,132,353601134
"Könizer SK",Schweiz,294,129,353085145
"NL Coatbridge Rovers",Schottland,187,155,352988804
"CS Villareal",Spanien,242,136,352880173
"Wehener SC",Deutschland,219,104,352734983
"Bolton Nomads",England,191,127,352329843
"RB Fischeln",Deutschland,199,142,352214960
"FFC Malchow",Deutschland,242,65,351853289
"Sliema Nomads",Malta,209,147,351024251
"HSV Concorde",Deutschland,259,128,349678219
"Peterhead United",Schottland,124,116,349107805
"Indre Châteauroux",Frankreich,160,150,348261086
"Ejderi Kayseri",Türkei,141,134,346693242
"Olympia Berlin",Deutschland,282,143,346564452
"RCD San Sebastián",Spanien,164,99,346369960
"Speertak Praha",Tschechien,199,87,346230150
"Juventus Dogana",San Marino,135,129,344924772
"ASS Troyes",Frankreich,147,116,344405460
"Aluminium Aachen",Deutschland,181,87,343877798
"Dynamit Zagreb",Kroatien,193,123,343662365
"OS St.-Étienne",Frankreich,128,86,343632373
"Germania Cloppenburg",Deutschland,243,141,342351168
"Sportiva Tondela",Portugal,125,117,342059211
"Sempedoria Genua",Italien,180,124,342053021
"CP London Eagles",England,261,119,339666285
"UCKA Moskva",Russland,282,147,339515805
"Rudar Kerkrade",Niederlande,266,78,339505354
"Leuven Duivels",Belgien,141,133,338751296
"Cork United",Irland,274,139,338500767
"Italia Santarcangelo",Italien,157,125,337513730
"Vedeaux Luçon",Frankreich,173,151,337368435
"Leeds Athletic",England,225,119,335686403
"Victória Estoril",Portugal,291,134,335634039
"Borussia Wegberg",Deutschland,336,151,335514001
"Olympia Marseille",Frankreich,181,73,335407860
"ARAL Baku",Aserbaidschan,124,114,334781411
"Rot-Weiß Ingolstadt",Deutschland,232,134,333722312
"FC Anker Perm",Russland,214,131,333342578
"Inverness City",Schottland,174,98,331856756
"VC Unión Llevante",Spanien,180,136,331155307
"Väsby Soccer",Schweden,205,137,330393443
"Tähti Tampere",Finnland,181,125,330267606
"Dundalk Soccer",Irland,285,136,329892972
"JK Tallinn",Estland,311,152,329066243
"SAK Akureyri",Island,250,142,328691867
"AC Palermo ",Italien,253,114,328068843
"Zavrč FK",Slowenien,113,105,324668801
"Fortuna Heidenheim",Deutschland,205,112,323444801
"Gosport Rebells",England,175,134,322698218
"Duna Paksi",Ungarn,160,108,322331809
"Dover County",England,173,111,321276239
"IFF Sterbæk",Norwegen,237,135,320908097
"HOM Edinburgh",Schottland,176,122,319539841
"ISF Ålesund",Norwegen,211,134,319207210
"Fáaðfara Reykjavík ",Island,229,147,318836499
"TuS Meerbusch 65",Deutschland,196,138,318473039
"Cáceres Extremadura",Spanien,120,112,318390829
"Fiskeri Esbjerg",Dänemark,184,85,317021981
"WFK Paderborn",Deutschland,224,76,316894514
"Dagenham Athletic",England,128,116,315927849
"SAK Solna",Schweden,153,115,315770399
"AC Avranches",Frankreich,141,116,315691939
"Eendracht Petegem",Belgien,108,101,315634242
"Signdal FK",Norwegen,154,146,315438409
"Union Bellinzago CF",Italien,139,132,315229432
"FK Aberdeen 1904",Schottland,265,113,315136442
"AS Le Havre",Frankreich,147,115,314952289
Karşıyakspor,Türkei,157,148,314905709
"Soccer Burreli",Albanien,118,110,314296516
"SHV Passau",Deutschland,192,121,313603088
"PCC Chieri",Italien,155,147,313568114
"Solyaransk Moskva",Russland,135,125,313498877
"Birku Konya",Türkei,114,101,312593055
"Rader Skopje",Mazedonien,217,146,311355343
"FVV Hamburg",Deutschland,284,140,311192534
"Tvøroyri BF",Färöer,223,119,311041493
"FKS Bratislava",Slowakei,241,137,310851606
"Dunawska Razgrad",Bulgarien,139,131,310786561
"Leeuw Brakel",Belgien,159,151,309786049
"BSV Auerbach",Deutschland,245,130,309701570
"Thessaly Trikala",Griechenland,102,95,309236898
"Racing SC Liège",Belgien,149,135,307901102
"Telford Midland",England,179,69,307726313
"Sori Lugansk",Ukraine,196,113,307258556
"Rädan Baku",Aserbaidschan,119,112,306960952
"SSC Cesena",Italien,139,130,306689262
"ASS Dundee",Schottland,280,127,306681128
"Primorje Vladivostok",Russland,127,116,306657799
"Canarinhos Bragança",Portugal,133,126,306653032
"Rangers IF",Dänemark,84,76,306621384
"Grimsby Cleethes",England,141,128,306390861
"OL Våluronga",Norwegen,192,110,305778965
"SP Palma de Inca",Spanien,170,159,305412643
"HB Edinburgh",Schottland,222,148,304869038
"Army Fleetwood",England,209,120,303897568
"Mannsdorfer FC",Österreich,128,121,303657047
"SSC Erfurt",Deutschland,308,94,303603944
"Union Garching",Deutschland,190,125,303577107
"Doncaster Knights",England,141,93,303459673
"Nogomet Split",Kroatien,183,130,303230342
Bündımaspor,Türkei,141,127,303034882
"Atlantika Klaipėda",Litauen,100,92,302862768
"Xäver Länkärän",Aserbaidschan,190,111,302550743
"Sportiva Montegiardino",San Marino,118,111,302294084
"FK Hoppa Steyr",Österreich,170,108,301855587
"Manchester Revolution",England,188,133,301766443
"1. FK Vienna 1895",Österreich,140,117,301469593
"Unión Tudelano",Spanien,131,120,301382850
"Union Schilksee",Deutschland,201,139,301164423
"TSV Amberg 1985",Deutschland,212,139,300580466
"AF Bray",Irland,126,120,300222071
"Esportivo Logro̱̩s",Spanien,116,100,300217406
"Blau-Gelb Jena",Deutschland,194,107,299478663
"Eteenpäin Valkeakoski",Finnland,185,106,298843351
"Zaskia Gdańsk",Polen,108,100,298601781
"Petrol Wolfsburg",Deutschland,236,140,298474812
"AK Istočno 1909","Bosnien und Herzegowina",159,151,298211913
"Maccabi SC TA",Israel,118,110,297910083
"Teplice CF",Tschechien,136,109,297861941
"QIF Göteborg",Schweden,121,114,297813078
"Vonat Debrecen",Ungarn,148,125,297218113
"Linzer AK",Österreich,209,134,297100181
"RCD Numancia",Spanien,206,119,296479171
"Sportive Tours",Frankreich,149,140,296432536
"Metallica Skopje",Mazedonien,125,117,296231151
"FK Dunfermline",Schottland,185,125,296136034
"ES Alcoy",Spanien,129,103,295816713
"SK Utrecht",Niederlande,206,116,295532588
"US Lyon 1965",Frankreich,166,111,294587749
"Mantova Calcio",Italien,138,131,294425371
"Vhoru Oleksandrija ",Ukraine,152,144,293896147
"KOZ Werkendam",Niederlande,156,147,293857003
"FC Galway",Irland,141,87,292935542
"Partizan 1945 FK",Serbien,137,129,292745380
"Lippstadter FC",Deutschland,195,94,292239480
"SHFV Todesfelde",Deutschland,159,92,292177022
"Szeged FC",Ungarn,156,148,292014513
"Union Zulte Waregem",Belgien,142,63,291781837
"ASK Eindhoven",Niederlande,268,104,291301294
"KF Eagles Blagoevgrad ",Bulgarien,150,104,291164566
"Kriminalno Split",Kroatien,189,157,290949438
"Rhône Chasselay",Frankreich,130,112,290635041
"STG Sannois Foot",Frankreich,232,151,290334661
"1. FK Bockenheim",Deutschland,146,84,289916451
"Arbroath Soccer",Schottland,164,122,289657799
"FK Nancy",Frankreich,167,139,289620625
"Unión Mafra",Portugal,158,151,288463855
"ASS Gibraltar",Gibraltar,202,148,288055741
"AS Jerez",Spanien,160,92,287869271
"SSL Ancona",Italien,160,151,287554124
"Sportivo Leiria",Portugal,100,92,287488380
"Clonmel Town",Irland,143,135,287335309
"JK Linname",Estland,135,128,287276164
"Haffa FC",Israel,103,95,286683847
"Iris Saloniki",Griechenland,161,155,286618537
"AFC Milton Keynes 05",England,143,118,286074050
"BK Getxo",Spanien,127,116,286004986
"Eintracht Hadamar",Deutschland,158,146,285705967
"Sportivo Trapani",Italien,121,90,285069949
"Oblast Astrakhan",Russland,137,130,284985788
"Udinese CF",Italien,126,114,284569468
"SSV Olginatese",Italien,118,110,284433358
"Burnley Clarets",England,130,96,284329200
"ASK Petrovac",Montenegro,118,111,284047288
"Sporting Boavista",Portugal,125,112,283187024
"SSC Altach",Österreich,176,131,283148074
"Roskilde Island",Dänemark,137,113,282354325
"Vorvaard Haugesund",Norwegen,120,113,282256859
"GIF Kalmar",Schweden,196,118,281270423
"Ratinger SC 1905",Deutschland,233,123,280972592
"RCD Sinarcas",Spanien,166,160,280929173
"AFK Amstetten",Österreich,179,149,280752538
"Parathanikaos Athen",Griechenland,215,127,280684778
"CDO Dijon",Frankreich,135,120,280679483
"SCP Tenisca",Spanien,94,73,280656831
"Reading Kings",England,145,124,280272420
"FKS Puławy",Polen,164,155,279910364
"Rot-Weiß Regensburg",Deutschland,188,79,279655882
"Opava FV",Tschechien,119,112,279211324
"SK FC Leva",Estland,118,111,278844945
"Juventus Bern",Schweiz,183,108,278434826
"Eintracht Osnabrück",Deutschland,165,81,278286884
"Haifa SC",Israel,142,107,278036998
"PF Orienta Varna",Bulgarien,283,144,277847304
"Preußen Schweinfurt",Deutschland,165,58,277697444
"VfB Elversberg",Deutschland,159,105,277395597
"Viktoria Sittard",Niederlande,192,124,277100153
"FV Schalke 1905",Deutschland,331,114,277056768
"AOL Satu Mare",Rumänien,122,116,276940906
"Royal Jaén",Spanien,118,110,275268615
"FC Sabur",Georgien,159,108,275164388
"FSI Novosibirsk",Russland,129,121,274682579
"SA Nantes",Frankreich,108,100,274344365
"Gimnastico Baleares",Spanien,160,151,273808554
"Muntenia Călărași",Rumänien,164,157,273688732
"FA Fuglafjørður",Färöer,120,112,273640657
"SSC Leeuwarden",Niederlande,170,118,273552308
"Inter Olbia",Italien,130,122,272558506
"MVV Neustrelitz",Deutschland,117,66,272115088
"FK Ioannina",Griechenland,183,103,271807518
"KOF Oslo",Norwegen,100,92,271467028
"Sportivo Cuneo",Italien,120,114,271462275
"VVC Brugge",Belgien,199,116,271344878
"Esportivo La Coruña",Spanien,210,144,271200696
"ASK Ehegnadzor",Armenien,140,131,271135165
"RV Bocholt 22",Belgien,106,98,270900564
"Županija Vinkovci",Kroatien,138,131,270017035
"Dynamit Berlin CF",Deutschland,168,82,269436086
"Inter Wexford",Irland,202,155,269262448
"SSC Oldenburg",Deutschland,304,158,268321424
"FC Aalborg",Dänemark,202,102,267943834
"Alf Sandnes 1913",Norwegen,120,114,267394518
"FKS Liefering",Österreich,250,144,267011864
"Sporting Genk",Belgien,211,105,266903859
"SWK Khabarosvk",Russland,139,131,266898232
"VS Acquaviva",San Marino,119,110,266757977
"Alğa Atyrau ",Kasachstan,102,95,266104849
"KS Chojnice 35",Polen,143,136,265692443
"Lomb Lumezzane",Italien,123,115,265687214
"OLFK Bischofswerda",Deutschland,158,117,265484989
"FC Zagreb",Kroatien,172,114,265024872
"Zakarpatti Uzhgorod",Ukraine,149,141,264649137
"SSV Frankfurt 1897",Deutschland,144,84,264145911
"SK Vertikal Turnovo",Mazedonien,144,136,263617262
"FK Novi Zagreb",Kroatien,161,140,263612624
"Jedi Belfast",Nordirland,176,151,263529626
"SCC Târgovişte",Rumänien,103,95,263510420
"ACS Middlesbrough",England,128,104,263205531
"Old Boys Antwerpen",Belgien,183,136,263057718
"AFC Hemel",England,190,74,262862682
"Holstein Steinburg",Deutschland,213,136,262747217
"SL Béziers",Frankreich,113,105,262604906
"Norté Fafa",Portugal,108,101,262596178
"Kupaz Ganja",Aserbaidschan,119,112,262455961
"BK Rusenborg",Norwegen,228,149,262417553
"FV Radan Kotor",Montenegro,130,122,262061186
"Sheffield Oils",England,194,130,261989468
"FK Ried",Österreich,166,98,261951672
"AFK Osijek",Kroatien,129,60,261912656
"FC Ballinamallard",Nordirland,141,133,261842856
"Jahn Wiedenbrück",Deutschland,180,113,261430158
"Moravica Lučani",Serbien,126,116,261042579
"SKK Illertissen",Deutschland,160,81,260985621
"Stevenage Deers",England,138,130,260780190
"Glovester Town",England,109,98,259859388
"Scuderia Benedetto",Italien,162,154,259710363
"VBC Kortrijk",Belgien,147,138,259340238
"Manchester Bury",England,164,142,259324723
"IFK Malmö",Schweden,242,113,259203095
"Žuti Visoko","Bosnien und Herzegowina",143,137,259026030
"Uskeris Utena",Litauen,273,161,258654141
"Sportiva Matelica",Italien,76,70,258182763
"Előre Szombathely",Ungarn,169,141,258168809
"Union Verl",Deutschland,155,85,258090079
"Srednjo Vitez","Bosnien und Herzegowina",100,92,257938502
"Glacia SC",Gibraltar,110,102,257470505
"Algarve Olhão",Portugal,123,116,257166937
"FC Shmuk",Israel,114,106,256726014
"IFF Örebro",Schweden,179,130,256565290
"Osman Ankara",Türkei,170,88,256231475
"TSV Zell am See",Österreich,106,93,256076823
"SSC Mosta",Malta,227,153,255868586
"KF Novorosskiysk",Russland,139,132,255758831
"FK Tarxien",Malta,143,132,255660848
"SW Bocholt",Deutschland,210,92,255603669
"Slugia Warszawa",Polen,176,111,255537687
"Belediye Aydin",Türkei,99,91,255194346
"IF Brand Bergen",Norwegen,195,155,255153878
"Birmingham Town",England,184,123,254342552
"Harrogate Union",England,105,98,254068422
"Voša Novi Sad",Serbien,96,89,253853659
"LF Thisted",Dänemark,148,93,253681034
"Breda FC",Niederlande,150,125,253338632
"East Ham London",England,224,103,253087250
"FF Sollenau 1905",Österreich,161,77,252926176
"Cabinteely United",Irland,122,114,252838628
"Clarrtonville CF",Nordirland,143,136,252832884
"AFK Svätý Jur",Slowakei,123,116,252768175
"Sportivo Sabadell",Spanien,169,153,252595369
"Baschko Ufa",Russland,182,101,252482012
"Veržej SC",Slowenien,162,156,252339946
"Lappi Rovaniemi",Finnland,271,152,251894563
Kacabuksport,Türkei,123,115,250540400
"Jylland Herning",Dänemark,118,112,249842550
"Uni Craiova",Rumänien,131,100,249837424
"Taurul Chișinău",Moldawien,117,109,249355877
"Toscana Pisa",Italien,118,109,249251078
"US Mallorca",Spanien,203,90,249240000
"FC Miranda",Spanien,154,116,249168646
"IF Ranheim",Norwegen,157,150,249078725
"Þùllíá Akureyri",Island,120,113,248842191
"Olga Samara",Russland,121,113,248153556
"IHS Käpylä",Finnland,137,131,248003201
"AS Caronno-Pertusella",Italien,156,147,247969382
"KF Haldenkvìk",Norwegen,184,118,247740923
"Ultra Dvor KF",Mazedonien,122,114,247647998
"FK Oulu",Finnland,135,127,247606369
"Zmajevi Gradačac","Bosnien und Herzegowina",119,113,247562015
"CS Algeciras",Spanien,141,133,247533003
"SC Livorno",Italien,110,102,247288233
"Stormbars FK",Litauen,151,143,246899135
"SSK Lankowitz",Österreich,213,125,246780046
"Fortuna Dudelange",Luxemburg,150,125,246381308
"KS Sarpsborg 07",Norwegen,150,143,246104661
"Ethnokos Evosmos",Griechenland,118,110,245978139
"FC Belém",Portugal,97,88,245818095
"Záhorie Skalica",Slowakei,154,117,245817643
"FC Aarhus 1879",Dänemark,95,85,245755486
"Sportivo Reggio",Italien,138,130,245724231
"FK Schwechat 1899",Österreich,128,120,245675270
"Lazwáj Katowice",Polen,139,131,245556730
"AS Teruel",Spanien,162,154,245116847
"Robot Skopje",Mazedonien,142,133,245086920
"FC Shijak",Albanien,151,101,245084850
"AQ Fréjus-St.Raphaël",Frankreich,158,119,244738532
"Sverige Trelleborg",Schweden,127,118,244471566
"KS Adanaspur",Türkei,148,123,244306895
"Banja Luka CF","Bosnien und Herzegowina",124,116,243898829
"Falkirk United",Schottland,147,97,243418715
"Ariana Limassol",Zypern,215,115,243226421
"TSK Ivanovo",Russland,134,127,242814334
