Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Union Odienné",Elfenbeinküste,138,131,300107606
"JKB Mikkeli",Finnland,117,109,299649056
"DSV Oberkassel",Deutschland,310,135,299530106
"TSV St. Florian",Österreich,206,132,299224047
"HFV Wiesbaden",Deutschland,183,116,299123142
"Gnaweya Marsa ",Tunesien,151,129,298928893
"FK Guingamp",Frankreich,195,123,298111137
"Hoya Conakry",Guinea,151,117,297582121
"SL Army Forces",Sierra Leone,133,126,297576595
"Hamhama CF",Tunesien,135,128,297297397
"FKB Vital",Burundi,137,129,297296854
"FC Tilu 1906",Jemen,139,131,296944271
"Huwa Nausori",Fidschi,133,125,296833179
"Bulgaria CF",Uruguay,125,118,296764327
"Munster Limerick",Irland,190,86,296659704
"FKS Liefering",Österreich,277,131,296624517
"Zemi Khemisset",Marokko,126,119,296545364
"CF Diablo de Cali",Kolumbien,138,130,296459719
"Baden Bahlingen",Deutschland,196,81,296328771
"TuS Bönningstedt",Deutschland,194,96,296309109
"Plymouth United",Montserrat,133,125,295675082
"Astérisque Congo","Republik Kongo",122,114,295320150
"RPFV Worms",Deutschland,258,135,294936387
"Bristol Sport",England,190,139,294803375
"ASS Södertälje",Schweden,134,126,294539150
"JK Sillam",Estland,127,120,294441839
"FC Koto Hudson",Ghana,150,129,294427922
"FFC Rivière Sud",Mauritius,140,133,294297387
"AS Tahitons",Tahiti,142,134,294280846
"VfB Elversberg",Deutschland,173,82,294116516
"Rayo Capiatá",Paraguay,141,133,294065149
"Real Santa Cruz",Chile,117,110,293898356
"OKF Montana 1948",Bulgarien,130,123,293896707
"TuS Nordhausen",Deutschland,196,105,293857456
"SSC Erfurt",Deutschland,260,131,292489945
"Salta de Matingo",Argentinien,126,120,292249947
"Ahli Qel SC",Palästina,136,130,291725172
"Deportvo Aviadores",Angola,136,129,291703843
"WBC Jongelui",Suriname,135,127,291559774
"SCF Beira",Mosambik,126,119,291501562
"Norte Garupá 89",Argentinien,134,126,291401443
"Zkata Balata",Palästina,133,127,291163124
"SSC Gillingham 1898",England,133,83,290477184
"Para Altamira",Brasilien,132,124,290442575
"FK Aluya Osh",Kirgisistan,138,131,289976865
"Hakupu United",Niue,134,126,289945735
"Kroneca FC",Samoa,138,130,289829615
"Adler Tafuna",Amerikanisch-Samoa,212,140,289780624
"Chentille FC",Grenada,137,129,289148953
"KV Tupapa Avarua",Cook-Inseln,338,109,289044985
"Pramy Minsk",Weißrussland,228,125,288570352
"Dankaree FC",Bhutan,135,127,288308112
"Whitestreaks Notts",England,182,154,288142099
"PFC Mbeya",Tansania,141,129,287729452
"CF La Gloria Córdoba",Argentinien,187,132,287585140
"Airline Pakistan SC",Pakistan,117,109,287506167
"FC Eleganzia Panama",Panama,185,134,287411508
"CF Linares",Chile,130,123,287378007
"FS Brøndby",Dänemark,206,113,287054517
"SSF Aliación",El Salvador,130,122,287042026
"Puchuanga QSC",Philippinen,137,130,286825663
"SSC Mosta",Malta,197,137,286328582
"Sportsklub Odense",Dänemark,248,142,286076432
"LSS Ceres",Philippinen,128,120,285814968
"Chipangu Gweru",Simbabwe,140,133,285782550
"Sportive Tours",Frankreich,146,125,285728435
"SC Al Ramtha 1980",Jordanien,142,134,285308094
"Intervalle Sangolquí",Ecuador,108,100,284641582
"Brantford Universe",Kanada,136,129,284597761
"Italia Brugnera",Italien,97,90,284581029
"Juvenesse Béjaïa",Algerien,136,128,284387851
"Isman Padang",Indonesien,120,113,284161064
"SC Arabi",Katar,133,125,283970207
"Forrest Bradford",England,125,110,283778612
"Lidoda Leopards",Südafrika,132,124,283431053
"Arsenal Schodsina",Weißrussland,127,119,283400096
"AS Suphanburi",Thailand,163,145,283155506
"PSV Tampere",Finnland,129,121,283141480
"RAFK Airmen",Sambia,163,142,282991157
"Centro Lima",Peru,139,132,282986666
"LFC Ballers",St. Lucia,128,122,282900109
"Sporting Banda\'bou",Curaçao,137,130,282733265
"GL Tacloban",Philippinen,279,154,282699946
"SAK Solna",Schweden,179,124,282564958
"SF Rimyokuu",Nordkorea,120,112,282560045
"Union Bazano","Demokratische Republik Kongo",135,127,282196306
"Zhim Tomsk",Russland,126,119,282106495
"NKC Tevragh-Zeïna",Mauretanien,132,124,281802942
"VK Army CF",Nordkorea,107,99,281766620
"Ndanda United",Tansania,132,125,281709662
"Muntenia Călărași",Rumänien,140,129,281384334
"Aiglons Abidjan",Elfenbeinküste,131,123,281382707
"Zelena Stara Sagora",Bulgarien,140,132,281348498
"VC St.-Gilloise Vorst",Belgien,186,126,281136231
"Sportska Čapljina","Bosnien und Herzegowina",175,107,280287091
"Sportivo Rancagua",Chile,141,133,280183732
"Sprint 06",Vanuatu,123,116,279731714
"Al Ahwy Tripol FC",Libyen,136,128,278884077
"Monterrey City",Mexiko,134,125,278869907
"SU Livar 42",Slowenien,228,132,278783584
"Aris Katokopia",Zypern,115,108,278776020
"FK Manila Jeeps",Philippinen,145,130,278731923
"Police Nationale",Mauretanien,137,130,278693625
"FC Ta\'izz",Jemen,123,115,278549768
"Patchchacan Officers",Belize,127,120,278493315
"Robot Skopje",Mazedonien,102,94,278439500
"CB Europe",Kambodscha,133,125,278301604
"FK Bojaro Tarnovo",Bulgarien,106,98,278288721
"Sturm Herat",Afghanistan,140,132,278268623
"LSD Quito",Ecuador,172,123,278131955
"ASK Paços de Ferreira",Portugal,220,109,277685881
"Corse Bastia",Frankreich,166,129,277635405
"Aba Yellow Kitwe",Sambia,167,137,277327249
"BVM Grapefruit",Mauritius,181,143,277078488
"ASK Petrovac",Montenegro,209,109,276956660
"SpVgg Kassel",Deutschland,211,111,276772375
"MVV Neustrelitz",Deutschland,190,106,276760239
"Kumpaty Lviv",Ukraine,158,97,276741827
"CA Avant Bastia",Frankreich,145,118,276656007
"Near West FC",Nepal,139,131,276471519
"Bangor Town",Wales,111,103,276231845
"Abohuni SC",Bangladesch,136,128,276225444
"Owerri United",Nigeria,103,96,276061765
"Lippstadter FC",Deutschland,204,104,275959716
"Mariposa Morelia",Mexiko,124,118,275758537
"SK Glimt Bodø",Norwegen,165,101,275682056
"Peterborough Elitists",England,155,120,275537749
"Sicilia Siracusa",Italien,89,79,275528610
"Murciél Guamúchil",Mexiko,132,124,275495743
"Astéroïde MSC",Elfenbeinküste,139,131,275242274
"SSC Bournemouth 1902",England,183,116,274951479
"SC Esch",Luxemburg,136,93,274868315
"Iragor Football",Vanuatu,155,134,274510434
"Sempedoria Genua",Italien,210,120,274308000
"Fort Lauderdale Fury","Vereinigte Staaten",114,103,273819737
"FV Valencia",Spanien,255,155,273806082
"Al Vahdo FC",Syrien,138,130,273516339
"Fortuna Seelow",Deutschland,146,75,273494438
"Club Lomas de Zamora",Argentinien,116,109,273408340
"SK Auster Lustenau",Österreich,210,95,273336963
"Dnipropetrovsk FC",Ukraine,238,107,273186116
"Ohed 1987 FC",Saudi-Arabien,127,119,273142996
"Leopardos Bucaramanga",Kolumbien,133,126,273046040
"UN Luxemburg",Luxemburg,130,102,272719319
"Royal Tilburg",Niederlande,144,123,272574001
"SC 1969 Titikaveka",Cook-Inseln,134,126,272398156
"Arsenal Guangzhou  ",China,166,132,272394587
"Østerø Eiði",Färöer,134,127,272321326
"Canberra Town",Australien,119,112,272225115
"Sportivo Mondorf",Luxemburg,155,138,272063612
"Olympique Saint-Leu",Réunion,132,125,272036995
"CF Dunedin 04",Neuseeland,223,147,272024922
"Scezny Pruszków",Polen,134,126,271932582
"United Bros \'49",Bangladesch,141,134,271888167
"KA Boeung Kompong",Kambodscha,129,122,271782099
"FC Miro Be’ér Shéva",Israel,141,132,271727310
"Unión Vélez",Spanien,83,51,271648729
"Whakabd FC","Vereinigte Arabische Emirate",133,125,271373545
"DRC Barca","Dominikanische Republik",131,123,271269900
"Nissan Halmstad",Schweden,122,112,271245954
"Praia Sports",Kap Verde,133,125,271174015
"Sumqayıt CF",Aserbaidschan,152,100,271065322
"Fútbol Gallegos",Argentinien,122,114,271050435
"Krazla Ryazan",Russland,130,123,271031672
"Makati FC",Philippinen,131,123,271027306
"Al Ahwe SC",Katar,141,133,270918168
"JK Tallinn",Estland,195,112,270881726
"Kiwa Pee SC",Hongkong,132,124,270061502
"AS Barnet Garden",Jamaika,211,147,270012558
"Sportivo Kolo-Kolo",Chile,190,122,269966879
"SVS Fortuna",Curaçao,127,120,269575493
"Hampshire Stars",Grenada,118,111,269512650
"VVC Brugge",Belgien,241,153,269485692
"FC Ontario Waterloo",Kanada,225,127,269454340
"FK Oulu",Finnland,115,108,269127365
"Borussia Wegberg",Deutschland,174,99,269113423
"Rakhine Sports",Myanmar,129,121,269020125
"Harare Townies",Simbabwe,133,125,268984044
"Oceanic ZK",Sansibar,132,124,268789720
"Società Messina",Italien,104,93,268414849
"Veržej SC",Slowenien,137,129,268337764
"SC Missionaries",Liberia,131,123,268231689
"Falluja Gafs",Tunesien,118,110,268223078
"Leipziger SV",Deutschland,313,101,267992295
"Harbin Yutong",China,132,125,267886760
"Yellowstone Greenart","Vereinigte Staaten",149,141,267737804
"Chin Universe",Myanmar,137,129,267721563
"Inter Chiasso",Schweiz,117,104,267685945
"SK Vertikal Turnovo",Mazedonien,140,133,267570601
"Ibarranense CF",Spanien,121,112,267079266
"Županija Vinkovci",Kroatien,182,79,267067130
"SSC Tra Penía",San Marino,210,115,267062449
"NKC Culture",Mauretanien,139,130,267037787
"Sporting St. Truiden",Belgien,197,112,266947072
"Vejle FF",Dänemark,138,117,266895304
"Olimpico Asunción",Paraguay,182,144,266884241
"Gbarnga Dragons",Liberia,119,112,266837768
"CFC Morvant","Trinidad und Tobago",138,131,266811504
"Union Bischkek FC",Kirgisistan,150,118,266802197
"Hurricàn Valencia",Spanien,172,104,266356442
"Mecão Natal FC",Brasilien,114,106,266251629
"FK Koprivnica",Kroatien,189,75,266132060
"Sportivo Águilense",El Salvador,137,129,266111254
"PN Sportif Kraké",Benin,142,135,265986129
"Siwaya Doba",Tschad,140,132,265769688
"Sportivo Toluca 1918",Mexiko,174,94,265726158
"GSI Örgryte",Schweden,115,108,265722210
"Westfalia Gütersloh",Deutschland,187,83,265677040
"Sandy Trees CF",Saint-Martin,137,129,265627244
"FC Hà Nội 2005",Vietnam,172,147,265595411
" Karachi SC",Pakistan,131,123,265308455
"Woolfield FC",Nordirland,242,141,265167458
"Red Devils Nkana",Sambia,169,112,265109325
"Naardvo NK",Norwegen,135,127,265075733
"ASC Dakari",Lettland,186,113,264686119
"Rio del Sol",Brasilien,137,131,264566872
"Wellington Champions",Neuseeland,137,127,264336059
"FK Tarxien",Malta,133,126,264238283
"Ryungbangan CF",Nordkorea,153,130,264163846
"Kano Stars",Nigeria,137,131,263906502
"Tuco FC",Brasilien,139,131,263710467
"SL Pastarossa",San Marino,240,145,263559207
"Cheznó Tarnobrzeg",Polen,140,132,263554691
"Speertak Praha",Tschechien,229,144,263532071
"VfL Altenholz",Deutschland,252,128,263507842
"Shey SC",St. Lucia,115,107,263473492
"VfB Pyrbaum",Deutschland,189,100,263436714
"Praslin Stars CF",Seychellen,132,124,263376794
"SC São Luís 1917",Brasilien,123,115,263322820
"Dundee FK",Schottland,293,137,263283554
"Uyo Universe",Nigeria,142,134,263250161
"Confiança Aracaju",Brasilien,100,90,263178955
"Sportif Ouanaminthe",Haiti,137,129,263086691
"Sporting Oran",Algerien,129,121,263058550
"Matsiatra Prescoi",Madagaskar,138,132,262952919
"Barotac Stallions",Philippinen,129,121,262818716
"AL Gharef SC",Katar,135,128,262618478
"Austin City CF","Vereinigte Staaten",150,139,262562631
"Bison Parakou FC",Benin,135,127,262463698
"DFC Wesps Town",Bermuda,133,125,262407031
"FK Dunfermline",Schottland,162,146,262350652
"CDO Dijon",Frankreich,166,121,262284767
"Usk Newport",England,175,151,262196311
"WFK Paderborn",Deutschland,217,107,262119028
"Intra Baku",Aserbaidschan,126,103,262027365
"Merwe TT",Turkmenistan,105,97,261909222
"Stade de Île des Pins",Neukaledonien,147,131,261754771
"AK Stara Zagora",Bulgarien,143,135,261546470
"Gosport Rebells",England,189,113,261516252
"Dynamo Großbardorf",Deutschland,339,133,261467860
"Reno Col SC",Sri Lanka,103,90,261311599
"KF Eagles Blagoevgrad ",Bulgarien,201,114,261249585
"Pohjanlahti Vaasa",Finnland,82,74,261121484
"Gharabagh Ağdam",Aserbaidschan,178,133,260859945
"SC Bad Treibach",Österreich,125,110,260818305
"CR Vasco Navegante",Brasilien,100,92,260814926
"Sheik Diamond United",Bangladesch,135,127,260749945
"Al Suwash FC",Oman,136,128,260608408
"Altrincham Trafford",England,195,96,260524194
"Inter Incheon",Südkorea,142,134,260467082
"SSC Bremen 1915",Deutschland,151,89,260392111
"Saifa SC",Iran,115,107,259981195
"Zehlendorfer SC",Deutschland,180,94,259872655
"Tarawa United",Kiribati,135,127,259774834
"Greenock AFK",Schottland,182,136,259773336
"Tabiteuea Eagles",Kiribati,135,127,259443822
"United Boys",Jamaika,236,137,259392525
"PNG Waias",Papua-Neuguinea,140,132,259234062
"Lincoln Boxer",England,229,130,259194549
"RSD Santander",Spanien,126,96,259003927
"USD Bata",Äquatorialguinea,124,116,258977355
"Unión Toledo",Spanien,149,113,258940425
"Real Espegne",Honduras,138,132,258922885
"Bahia Salvador CF",Brasilien,134,127,258901251
"JS Jako Pietarsaari",Finnland,151,144,258786931
"BFC United",Sambia,174,135,258642905
"KF Tongan",Amerikanisch-Samoa,125,121,258633555
"Alğa Atyrau ",Kasachstan,142,135,258631574
"Olympico Bahía Blanca",Argentinien,134,128,258569133
"NWV Bergisch Gladbach",Deutschland,187,105,258432109
"Pago SK",Amerikanisch-Samoa,136,128,258428432
"Segrando Dundo",Angola,133,125,258148919
"SC Nero Fratta",Italien,125,117,258074504
"Llandudno Town",Wales,238,144,258053409
"VfB Zwettl",Österreich,181,102,257923839
"Vlaanderen Hamme",Belgien,106,98,257844891
"Arcandor FC",Gabun,106,98,257811774
"Huac Chun",Macau,121,113,257518966
"Depor La Cruz 03",Venezuela,138,126,257485317
"Ahidjo Football Aca",Kamerun,135,129,257383508
"Iilaa Kairouan",Tunesien,122,114,257317904
"Anchor SC","St. Vincent und die Grenadinen",135,127,257316511
"FK Differdange",Luxemburg,100,91,257288944
"Desportivo Funchal",Portugal,179,131,257226979
"Zefçi Baku",Aserbaidschan,196,145,257180095
"Juve Caxias",Brasilien,104,95,256969075
"FC Galway",Irland,215,123,256532171
"Corby Athletic",England,76,63,256231521
"Jeneusse Dolisie","Republik Kongo",126,119,256170182
"Philipsburg Flames","Sint Maarten",135,127,255835406
"Santa Recife",Brasilien,191,92,255829435
"Newcastle Union",England,206,119,255784420
"AFC Sunset",Anguilla,137,129,255778078
"Amsterdam Soccer",Niederlande,240,132,255501858
"Académicos FC",Costa Rica,114,106,255394681
"Koolbaai United","Sint Maarten",142,122,255131184
"Abèkubal Bembèrèkè",Benin,122,115,255099406
"SK Austrien Wien",Österreich,229,130,255057229
"FSV Schwachhausen",Deutschland,177,77,255051299
"FC Ivantsminda",Georgien,137,130,255018661
"Freetown Lions",Sierra Leone,140,133,254977996
"Ponte Mozzano Calcio",Italien,130,122,254965999
"Chorley Roses",England,124,76,254949846
"Oudenaarde SC",Belgien,163,123,254810761
"Srednjo Vitez","Bosnien und Herzegowina",135,127,254342803
"Tujite Ushuru FK",Kenia,135,127,253992597
"PH Sharks",Nigeria,126,120,253953407
"Mbabane Townies",Swasiland,131,125,253822575
"Bouloump Koudougou",Burkina Faso,141,133,253815728
"Fogãodinha Filipe",Kap Verde,129,121,253698887
"RSV Aruba",Aruba,138,130,253490845
"Jasso CA",Mexiko,134,126,253390827
"NK Niš",Serbien,108,99,253335962
"Petrol Wolfsburg",Deutschland,237,126,253138642
"CPP Tiger",Kambodscha,134,127,253096391
"SC Orléans Aussault",Saint-Martin,135,128,252954456
"Herakles Verona",Italien,205,109,252866956
"Havelser SC",Deutschland,122,45,252837143
"Hammer BSV",Deutschland,175,164,252622768
"Bào Xinjiang",China,119,111,252396127
"York Soccer",England,138,102,252192186
"NT Drug Authority",Sierra Leone,135,127,252109702
"FC Al Wakra 1966",Katar,125,118,251953871
"Iruña Osasuna",Spanien,107,99,251948662
"MS Akhisar",Türkei,186,88,251854088
"Nodrago Levu CF",Fidschi,125,117,251785157
"Lucky Stars FC",Malediven,154,134,251745326
"Newtown Lions",Dominica,129,122,251706553
"Inter Angochi",Aruba,118,110,251662717
"Union Scunthorpe",England,167,106,251578491
"Ville Rennes",Frankreich,85,70,251555264
"Sporting of Margoa",Indien,115,107,251553904
"LM Proue Ngozi",Burundi,124,116,251303080
"Red Lions C.F.",Anguilla,148,138,251257052
"Red Elpa Asmara",Eritrea,135,129,251139231
"Olympique Sinnamary",Französisch-Guyana,132,124,251071928
"United Douala",Kamerun,134,127,250909038
"RCD Formentera",Spanien,176,106,250823301
"Baco Sport",Neukaledonien,147,134,250774600
"Siyavutha Malahleni",Südafrika,138,130,250758345
"Unie Tera Corá",Bonaire,136,128,250526370
"PP University 1923",Kambodscha,138,130,250349732
"Real Casablanca",Marokko,175,119,250187951
"Niedercorn PG",Luxemburg,159,134,250163108
"SAV Sandersdorf",Deutschland,156,102,250124402
"Rader Skopje",Mazedonien,177,120,250056808
"Atletický Báhoň",Slowakei,119,113,249911676
"Concordia Rieti",Italien,138,130,249719222
"Chesterfield Athletic",England,194,102,249663626
"Dinamit Barnaul",Russland,137,129,249614263
"Orage Abomey CF",Benin,139,132,249611679
"Al Sorta ASC",Syrien,97,90,249609453
"Inter Aba",Nigeria,132,126,249329695
"Sima Nakhon FC",Thailand,176,145,249102541
"Quindio Armenia CF",Kolumbien,130,123,249050636
"FC Kuwaiti Ral ",Kuwait,134,126,249022538
"Rundu Sheriffs",Namibia,130,124,248912219
"Burundi Stars",Burundi,144,135,248845435
"Delphino de Santa Rosa",Argentinien,133,125,248733411
"Yeuneaux Abidjan",Elfenbeinküste,213,122,248413499
"CTC Santos",Südafrika,133,125,248366436
"SC Kourouche",Guyana,137,129,248280616
"Red Stars CF",Namibia,114,106,248161791
"AS Séwéké Pédro",Elfenbeinküste,132,124,248142468
"AC Léogâne",Haiti,114,107,248109666
"KA Iraklio",Griechenland,116,108,248096458
"Super Nassau",Bahamas,130,122,248065079
"AFC Rangers","Antigua und Barbuda",127,119,248057710
"Täby IF",Schweden,141,132,248054763
"Minière Montceau",Frankreich,128,120,247818438
"Chongqing Hufan",China,116,109,247605789
"AS Guaratinguetá",Brasilien,134,126,247551796
"Bónhạc Hải Phòng",Vietnam,132,123,247542220
"SC Moluodhu Alger",Algerien,137,129,247403876
"Club Heist",Belgien,199,102,247314078
"AS Châteaubriant",Frankreich,155,140,247290179
"Wigkancha Sinŭiju",Nordkorea,127,119,247215253
"CD Platon",Honduras,127,119,247038949
"SDK Chaouia",Algerien,129,123,246929340
"Club Académique",Burkina Faso,121,114,246833617
"SSC Belén",Costa Rica,195,116,246793270
"Markesh FC",Palästina,134,126,246782699
"Germania Paris",Frankreich,345,137,246759970
"Dinamyt Minsk",Weißrussland,104,98,246660512
"SSV Lille",Frankreich,147,86,246407893
"Chicago SoccerBulls","Vereinigte Staaten",217,122,246339825
"Royal Bangî","Zentralafrikanische Republik",117,110,246161305
"Shillong Laje FC",Indien,144,136,245989949
"SK Haderslev",Dänemark,140,125,245285616
"SSC Altach",Österreich,131,110,245269635
"AS Rivière Tamarin",Mauritius,126,119,245164807
"Sydney Kickers",Australien,223,147,245138277
"Jinja SC ",Uganda,141,133,245012088
"Merreikh FK",Sudan,138,130,245003240
"Al`amam Hussein Dey",Algerien,140,135,244862310
"Victoria Cruz","Amerikanische Jungferninseln",121,114,244837044
"FV Vaduz 1935",Schweiz,215,122,244707689
"OS Bassam",Elfenbeinküste,179,96,244706051
"AC Avranches",Frankreich,123,113,244550739
"Padova Este",Italien,148,140,244483407
"Deportivo El Harrach",Algerien,140,132,244279704
"ISF Ålesund",Norwegen,251,151,244082333
"FK Una Bihać","Bosnien und Herzegowina",110,102,244038149
"Dinamo Hrodna",Weißrussland,135,127,243979717
"Royal Bamako",Mali,141,134,243937238
"Kotorosl Yaroslavl",Russland,127,118,243891198
"Tortuk Nalchik",Russland,135,127,243736625
"ZG Rudeš 55",Kroatien,143,124,243567117
"Toros Malacatáno",Guatemala,112,104,243436650
"Lyes Médéa",Algerien,132,126,242845021
"Dilara Gor FC",Georgien,218,102,242810937
"Santamaria Tandil CD",Argentinien,91,83,242555465
"Tähti Tampere",Finnland,124,114,242514071
"Saunders SCC","Sint Maarten",128,120,242501892
"FAN Militaire",Niger,138,130,242446983
"FC Ballinamallard",Nordirland,136,130,242311776
"EU Gibraltar",Gibraltar,160,104,242295579
"CS Basse-Terre Coqs",Guadeloupe,134,126,242242379
"Atlético Macaé",Brasilien,151,143,242126995
"Manufahi SC",Osttimor,130,122,242098232
"Island Stars C.F.","Britische Jungferninseln",137,129,242044472
"Sportivo Zárate",Argentinien,71,63,241732053
"Olimpico Estarreja",Portugal,91,82,241729123
"AS Montjoly",Französisch-Guyana,139,132,241700349
"FT Longshoremen",Sierra Leone,133,126,241675075
"SC Pontedera",Italien,169,138,241672690
"Al Ahwi FC",Bahrain,133,126,241656524
"Nadal Talcahuano",Chile,133,125,241563441
"Young Boys Marigot",Saint-Martin,135,128,241514663
"FK Fiorentino",San Marino,94,82,241502405
"Grêmio Arapiraca",Brasilien,125,117,241477233
"SG Jets",Somalia,129,122,241261433
"Hawks SC",Malediven,155,148,241244497
"Atlantic SG","Trinidad und Tobago",123,116,241242701
"Moravica Lučani",Serbien,93,85,241162345
"SSK Halmstad",Schweden,176,106,240958101
"Avanti Siena",Italien,132,77,240795637
"LC Mita",Guatemala,128,120,240604182
"EF Constellation ",Burkina Faso,137,129,240509621
"Segregrcy Suwałki",Polen,146,127,240224156
"Deportivo Guayaquil",Ecuador,125,117,240127965
"Garonne Bordeaux",Frankreich,198,125,240103599
"ASC Laut̩m",Osttimor,122,116,240034778
"Victoria Attacks","Britische Jungferninseln",139,131,239996737
"FC Las Quebas",Kuba,135,127,239875996
"US Kara",Togo,134,126,239845070
"SL Romorantin",Frankreich,125,117,239770478
"Thessaly Trikala",Griechenland,122,106,239716760
"FC Accra Liberty",Ghana,141,111,239628220
"Madagasy Atsinanana",Madagaskar,128,121,239560090
"Central Las Heras",Argentinien,133,126,239529551
"Rouge Stern Paris",Frankreich,148,88,239475105
"Juventus Prato",Italien,119,110,239390334
"Viti Nadi CF",Fidschi,118,110,239228446
"FC Heaven",Montserrat,124,116,239217728
"SK Sokolov",Tschechien,155,148,239187633
"Gor Mahia Nairobi",Kenia,137,130,239178979
"Thai Bangkok",Thailand,210,135,239130150
"White Eagles",Samoa,134,127,238914584
"Rossoblù L`Aquila",Italien,136,130,238834278
"Unione Terni",Italien,157,121,238828161
"AT Rayo Goiânia",Brasilien,134,126,238815945
"FK Chaves 48",Portugal,124,115,238794444
"BH Oradea",Rumänien,123,115,238750258
"Alf Sandnes 1913",Norwegen,122,87,238742770
"Københavner FK",Dänemark,254,132,238709823
"ARAL Baku",Aserbaidschan,134,101,238702480
"Charlton Haddocks",England,189,86,238674795
"UD Huíla",Angola,162,129,238515770
"Ashanti Elephants",Guinea,216,143,238399366
"AS Eragones",Tahiti,140,132,238384540
"HB Paola",Malta,138,130,238307591
"VVC Skerpene",Curaçao,141,133,238293152
"Al Ahjuh AC",Jordanien,122,115,237907832
"KC Kosikok Meelum",Sansibar,136,129,237725120
"Houston Rivers","Vereinigte Staaten",139,122,237672634
"Alucroix F.C.","Amerikanische Jungferninseln",117,109,237639983
"CD Plaza Armindo",Panama,128,120,237460433
"SD de La Plata",Argentinien,124,116,237449988
"Argentinos Tigre",Argentinien,136,127,237395148
"Sao Béchar",Algerien,176,98,237229670
" Yuen Long SC",Hongkong,106,98,237220284
"St. Portadown 25",Nordirland,129,122,237193800
"Sportowy Krasnodar",Russland,120,112,237088230
"Viktoria Jihlava",Tschechien,143,135,237014327
"Hiratsuka Porta",Japan,129,120,236997463
"AK Istočno 1909","Bosnien und Herzegowina",103,95,236938721
"Universe UB",Mongolei,131,123,236913249
"FT Balkanes",Turkmenistan,139,131,236888046
"Dnepr Zaporizhya",Ukraine,175,142,236884598
"Phoenix Highlands",Südafrika,116,108,236876560
"CO Alcorcón",Spanien,165,113,236710401
"AU Kingstown","St. Vincent und die Grenadinen",131,124,236681414
"SSC Encamp",Andorra,215,146,236570232
"Golden Kariba CF",Simbabwe,129,122,236435493
"Espérance FK","Zentralafrikanische Republik",135,128,236317997
"Soccer Dallas 96","Vereinigte Staaten",190,121,236288706
"FC Palm Trees",Saint-Martin,139,130,236255067
"Sfaahafi FK",Somalia,115,107,235945823
"JD Curepipe",Mauritius,122,114,235866927
"FK Schwechat 1899",Österreich,100,56,235821299
"Carasucias Pergamino",Argentinien,122,114,235723876
"Saimaa Joutseno",Finnland,136,129,235707764
"AFK Terengganu",Malaysia,134,126,235704103
"MFK Deren",Mongolei,138,130,235660053
"AC Bragança",Brasilien,107,96,235655897
"FC All Star du Douala",Kamerun,138,131,235528675
"FC Eagles",Gambia,133,126,235510918
"Chubut Brown",Argentinien,135,128,235129100
"Algarve Olhão",Portugal,143,135,235045126
"Campeones Iquique",Chile,118,110,235020455
"Unionò Belluno",Italien,196,152,234916668
"Doncaster Knights",England,169,99,234852142
"SL Sunshine",Seychellen,138,130,234804491
"Salgueiro SC",Brasilien,125,116,234695942
"VFK Lao",Laos,143,137,234650922
"Al Trivali FC",Libyen,118,110,234579976
"SV Noumé-Magenta",Neukaledonien,115,108,234529984
"Phoenix Zabul",Afghanistan,127,120,234447980
"FK Mbeya Town",Tansania,133,126,234309060
"Parish Zebras",Bermuda,134,127,234217061
"FC Angelen",Gibraltar,134,126,234163397
"Sliema Nomads",Malta,137,129,234143789
"Mogang FC",Nepal,142,134,234116100
"Unido Ovalle",Chile,118,110,233986189
"AS Seoul 1985",Südkorea,141,117,233963383
"SCA Id Al Ibb",Jemen,98,90,233895398
"IFK Malmö",Schweden,185,116,233866364
"Atletico Nacio Cruz",Panama,115,109,233865587
"FC Yarmak",Jemen,120,114,233697473
"FC Kurait Almaty",Kasachstan,176,118,233292758
"Edgeworth United",Australien,163,108,233276786
"SD Esquel ",Argentinien,127,119,233096594
"SSC Pak Nonthaburi",Thailand,117,109,233062515
"RBC San Ignacio",Belize,139,132,233021107
"Nadyavam Dobrich",Bulgarien,133,125,232886085
"BFC Defensive Force",Barbados,140,132,232845519
"Red Lions Millwall",England,151,94,232554857
"FC Sabur",Georgien,105,99,232386162
"ANB Makamba",Burundi,137,130,232288706
"Visina Ivanjica",Serbien,139,131,232078079
"Tiger Stars",Samoa,131,123,232073174
"FC Al Wehela",Libyen,135,129,232063576
"FC Stoke 1865",England,189,95,231877514
"SK Prudy",Russland,120,114,231566914
"Victória Estoril",Portugal,217,139,231444714
"Chiredzi Sugar",Simbabwe,136,130,231386207
"VL Trakai",Litauen,118,111,231349751
"Draak Hertogenbosch",Niederlande,162,144,231326332
"VV Indigo","Sint Maarten",112,104,231207092
"Club Punta Carretas",Uruguay,134,127,231178371
"Uni Santiago 44",Chile,125,117,231167465
"Juve Makov",Slowakei,139,131,231033207
"RCD Formosa",Argentinien,144,136,230887998
"Union Bellinzago CF",Italien,199,126,230804735
"Shabab Dero FC",Palästina,135,127,230720053
"Qingdao Hǎiyáng",China,134,126,230717977
"Mamangt SC",Nepal,139,129,230698997
"Deportiva Antigua",Guatemala,135,127,230661457
"SG Sportif Marigot",Saint-Martin,137,129,230575618
"Longford City",Irland,210,109,230556208
"FDF Cloverleaves",Martinique,139,131,230512149
"Ariana Limassol",Zypern,79,71,230488239
"Khabbi SC",Tschad,134,127,230452821
"Scuderia Benedetto",Italien,131,120,230382125
